title,discription,illutration,link
TAKE NOTE,The red flag symptom of 'silent killer' cancer you might notice at mealtimes,https://www.thesun.co.uk/wp-content/uploads/2022/11/crop-20494528.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20494110/red-flag-symptom-silent-killer-cancer-mealtimes/
MY AGONY,I felt like I was dying from the inside out - I only changed my contraceptive,https://www.thesun.co.uk/wp-content/uploads/2022/11/woman-s-contraceptive-horror-https-776094755.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20460123/felt-like-dying-inside-out-pain-worse-childbirth/
GENDER GAP,"Women dismissed & ignored by GPs who tell them they're ' emotional', study finds",https://www.thesun.co.uk/wp-content/uploads/2022/11/photo-woman-suffering-stress-headache-768523628.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20419007/women-dismissed-ignored-gps-too-emotional/
OH BABY,Millions plagued by common cause of infertility you've probably never heard of,https://www.thesun.co.uk/wp-content/uploads/2022/11/cropped-shot-attractive-young-woman-723908983-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20362482/millions-women-fibroids-fertility-symptoms/
LIFELINE,Cancer drug that can help illness ‘disappear’ approved for use on NHS patients,https://www.thesun.co.uk/wp-content/uploads/2022/11/given-right-time-combination-chemotherapy-710628003-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20350183/cancer-drug-illness-disappear-approved-hundreds-nhs/
MENOPAUSE MATTERS,I’m a life coach - here’s how changing your mindset can help menopause,https://www.thesun.co.uk/wp-content/uploads/2022/11/sad-depressed-tired-lonely-divorced-727679320-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20303000/mindset-help-ease-menopause-symptoms/
PERIOD DRAMA,I’m a gynae doctor and here’s why you should never ignore heavy periods,https://www.thesun.co.uk/wp-content/uploads/2022/10/stomachache-218008161.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20224638/gynae-doctor-never-ignore-heavy-periods/
MENOPAUSE MATTERS,Blow for millions of women as HRT promise faces another delay,https://www.thesun.co.uk/wp-content/uploads/2019/08/NINTCHDBPICT000517189422.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20256051/women-hrt-promise-delay/
HEARTBREAKING,I was told I was too young to have a mammogram - now I have a death sentence,https://www.thesun.co.uk/wp-content/uploads/2022/10/COMP-TWIN-OMF-PHILECIA-.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20240510/too-young-breast-cancer-now-death/
LIVING HELL,I was fobbed off as 'anxious' by doctors but the truth was devastating,https://www.thesun.co.uk/wp-content/uploads/2022/10/newspress-collage-20091949-1665648435122.jpg?1665652084&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20091949/fobbed-off-anxious-endometriosis/
MENOPAUSE AND ME,"Menopause left me unable to function - I had no purpose, says Jenny Powell",https://www.thesun.co.uk/wp-content/uploads/2022/10/dk-comp-menopause-matters-18-oct-v2-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20142525/menopause-i-couldnt-function-jenny-powell/
DOUBLE TAKE,I was told my unborn baby was dead in the womb - until I asked key question,https://www.thesun.co.uk/wp-content/uploads/2022/10/investigation-launched-bradford-hospital-mum-769423937-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20172795/unborn-baby-dead-womb-not/
‘I FEEL LIKE A BADASS’,I had both boobs removed at just 28 even though I don’t have cancer,https://www.thesun.co.uk/wp-content/uploads/2022/10/boobz.jpg?1666268405&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20168416/boobs-removed-dont-have-cancer/
HEALTH WATCH,Common illness in pregnant mums linked to high risk of death in children,https://www.thesun.co.uk/wp-content/uploads/2022/10/side-view-close-up-pregnant-768820513-2.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20161954/common-illness-pregnant-mums-death-children/
OH BABY,I'm a fertility doctor - here's my 6 simple tips to help you get pregnant,https://www.thesun.co.uk/wp-content/uploads/2022/10/Natalie-Crawford-1.png?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20156712/fertility-doctor-simple-tips-get-pregnant/
OPEN UP,Brits too embarrassed to talk about menopause as 50% say it's a 'taboo topic',https://www.thesun.co.uk/wp-content/uploads/2022/10/sad-depressed-tired-lonely-divorced-755274021-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20148332/brits-embarrassed-talk-menopause-taboo-topic/
TIME OF THE MONTH,Is your diet to blame for period pains - and which foods can ease them?,https://www.thesun.co.uk/wp-content/uploads/2018/11/NINTCHDBPICT000397735200.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20145257/diet-blame-period-pains/
WHAT’S SUPP,From vitamins to HRT - the 10 menopause products you need in your life,https://www.thesun.co.uk/wp-content/uploads/2022/10/photo-woman-suffering-stress-headache-768523628-1.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20135742/menopause-products-you-need/
MOVE ON,I’m a GP - here’s 10 simple ways to ease your agonising menopause symptoms,https://www.thesun.co.uk/wp-content/uploads/2022/02/NINTCHDBPICT000699516645.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/16507516/banish-menopause-symptoms-medication-lifestyle/
KNOW YOUR RIGHTS,Going through the menopause at work? 6 questions on your legal rights,https://www.thesun.co.uk/wp-content/uploads/2021/10/NINTCHDBPICT000686861057.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/16430532/legal-rights-going-through-menopause-work/
PUT IT OUT,Docs reveal why it’s not your fault that you can’t quit smoking if you’re female,https://www.thesun.co.uk/wp-content/uploads/2022/10/young-woman-enjoying-cigarette-outdoors-759748314.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20134179/scientists-reveal-not-fault-cant-quit-smoking-woman/
MUM’S THE WORD,I was shocked when my nipple went black & fell off while I was breastfeeding,https://www.thesun.co.uk/wp-content/uploads/2022/10/hp-op-breastf.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20132058/shocked-nipple-turned-black-fell-off-breastfeeding/
OH BABY!,I'm a fertility doctor - here's the 5 things I would never do if you want a baby,https://www.thesun.co.uk/wp-content/uploads/2022/10/worried-girl-looking-pregnancy-test-742313310.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20111307/fertility-doctor-everyday-things-never-do-want-baby/
HOT TOPIC,Boots worker experiences what life's like in menopause & brands it 'torturous',https://www.thesun.co.uk/wp-content/uploads/2022/10/lule-vest.png?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20099542/boots-worker-experiences-menopause-torturous/
PILL POPPER,Common condition increases risk of killer blood clots in women on the Pill,https://www.thesun.co.uk/wp-content/uploads/2020/02/NINTCHDBPICT000560605099.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20057139/common-condition-risk-blood-clots-pill/
WOMAN TROUBLE,Women have 180 'off days' a year where they feel uncomfortable or tired,https://www.thesun.co.uk/wp-content/uploads/2022/10/ja8bem-attractive-stylish-young-woman-359983402-1.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20047099/women-off-days-new-research/
DEADLY DELAY,Mum-of-two dies months after doctors brushed off lump as a swollen gland,https://www.thesun.co.uk/wp-content/uploads/2022/10/2014-developing-small-lump-right-766071530.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20035729/mum-two-dies-months-doctors-brushed-off-lump/
MYTH BUSTER,The 8 breast cancer myths you probably think are true,https://www.thesun.co.uk/wp-content/uploads/2022/08/human-breast-cancer-computer-illustration.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20010614/breast-cancer-myths-think-true/
BREAST AWARE,I'm a doctor - here's the 3 breast cancer blind spots most people miss,https://www.thesun.co.uk/wp-content/uploads/2022/10/newspress-collage-19999733-1664880493412.jpg?1664884144&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19999733/doctor-breast-cancer-blind-spots-people-miss/
BREAST ADVICE,I'm a doctor - here's what a breast lump feels like when it could be cancer,https://www.thesun.co.uk/wp-content/uploads/2022/10/woman-checking-large-breasts-cancer-732605018.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19997842/doctor-breast-lump-really-feels-like-when-cancer/
SEXUAL HEALING,I'm a sexologist - this is the truth about your low libido & how to fix it,https://www.thesun.co.uk/wp-content/uploads/2022/09/hand-reaching-touch-stamen-calla-757250284-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19668187/truth-behind-low-libido-how-fix/
HEALTH CHECK,The tell-tale signs of 5 cancers you need to know - from bloating to spotting,https://www.thesun.co.uk/wp-content/uploads/2022/10/jr-gynaecological-cancers.jpg?1664662214&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19979522/gynaecology-expert-cancer-signs-you-need-know/
SHOCK FIND,Shocking scans show cancer tumours ‘disappear after taking class B drugs’,https://www.thesun.co.uk/wp-content/uploads/2022/09/COMP_TRP_CANCERCHECK.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19955262/cancer-tumour-disappears-class-b-drugs/
DRUG DEAL,Major change to the way women receive vital medication - are you affected?,https://www.thesun.co.uk/wp-content/uploads/2019/12/NINTCHDBPICT000450820626.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19948177/change-women-receive-medication/
DON'T DELAY,I was embarrassed when I found a lump down there - now I'm fighting for my life,https://www.thesun.co.uk/wp-content/uploads/2022/09/newspress-collage-19931306-1664274041092.jpg?1664277690&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19931306/embarrassed-lump-down-there-fighting-life/
HEAVY WEIGHT,My 44GG boobs were so big I couldn't work or do chores due to the extreme pain,https://www.thesun.co.uk/wp-content/uploads/2022/09/newspress-collage-19930366-1664269405432.jpg?1664273052&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19930366/44gg-boobs-so-big-couldnt-chores-extreme-pain/
MUM'S AGONY,I put my agony down to pregnancy - now I might not get to see my girl grow up,https://www.thesun.co.uk/wp-content/uploads/2022/09/newspress-collage-19929578-1664266383132.jpg?1664270031&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19929578/agony-pregnancy-pains-not-see-baby-girl-grow-up/
DOCTOR'S ORDERS,I'm a GP - here's how to check your boobs for cancer warning signs,https://www.thesun.co.uk/wp-content/uploads/2022/09/woman-performing-self-breast-exam-763778478.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19926603/check-boobs-cancer-warning-signs/
SHOCK DIAGNOSIS,"I missed my mammogram - now I have breast cancer, says Sun's Deidre Sanders",https://www.thesun.co.uk/wp-content/uploads/2022/09/dk-comp-page30-health.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19926340/mammogram-nhs-breast-cancer-deidre-saunders/
GET TESTED,I was diagnosed with deadly cancer- 12 symptoms you should know,https://www.thesun.co.uk/wp-content/uploads/2022/09/jb-cancer-comp.jpg?1664198758&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19919096/healthy-mum-deadly-cervical-cancer/
DR'S ORDERS,I'm a surgeon & I've operated on 300 vaginas - here's what I get asked the most,https://www.thesun.co.uk/wp-content/uploads/2022/09/crop-19902016.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19901808/surgeon-operated-vaginas-what-get-asked-most/
LIFE-CHANGING,I lived in agony until docs made grim discovery removing my breast implants,https://www.thesun.co.uk/wp-content/uploads/2022/09/TM-comp-Melissa-Lima.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19825763/face-puffed-up-breast-implants/
MYSTERIOUS GIRL,Scientists ‘solve’ the mystery of why women are always colder than men,https://www.thesun.co.uk/wp-content/uploads/2021/10/NINTCHDBPICT000450828577-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/16332980/mystery-women-colder-men-solved/
SEX THRIVE,It’s not just flushes that are hot during menopause - sex can be too says Davina,https://www.thesun.co.uk/wp-content/uploads/2022/09/dk-comp-menopause-matters-dav-v3.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19777671/hot-flush-menopause-sex-life-davina-mccalll/
BREAKTHROUGH,Boots becomes first to offer HRT without prescription from today,https://www.thesun.co.uk/wp-content/uploads/2022/02/NINTCHDBPICT000709394557.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19733828/hrt-without-prescription-today/
JOG ON,Simple exercise three times a week 'slashes your risk of breast cancer by 40%',https://www.thesun.co.uk/wp-content/uploads/2020/01/NINTCHDBPICT000551022181.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19732626/simple-exercise-slashes-cancer/
WOMB WOES,The 7 signs you have a tilted womb and when you must see a doctor,https://www.thesun.co.uk/wp-content/uploads/2021/07/crop-15715054.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/15714760/signs-tilted-womb-must-see-doctor/
DIRTY LAUNDRY,Warning to women as nasty bugs lurk in your underwear,https://www.thesun.co.uk/wp-content/uploads/2021/09/womens-underwear-hanging-washing-line-738808469.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/16276688/warning-women-nasty-bugs-lurk-underwear/
'SHOCK',I thought I had a heavy period but reality was much worse - my life changed in 2hrs,https://www.thesun.co.uk/wp-content/uploads/2022/09/crop-9358360.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19688309/woman-heavy-period-cancer/
MENOPAUSE MATTERS,Women forced out of work due to debilitating menopause symptoms,https://www.thesun.co.uk/wp-content/uploads/2022/09/fired-female-employee-holding-box-727505447.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19680550/women-out-of-work-menopause/
MILKING IT,My breast milk turned orange - it turns out there’s a very clever reason,https://www.thesun.co.uk/wp-content/uploads/2022/08/newspress-collage-19663978-1661943041194.jpg?1661946674&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19663978/my-breast-milk-turned-orange/
BREAST AWARE,How to check your breasts for signs of cancer as Sarah Beeny diagnosed,https://www.thesun.co.uk/wp-content/uploads/2022/02/NINTCHDBPICT000616807296-1-e1661858424606.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/5929515/breast-cancer-symptoms-signs/
GENDER GAP,Women at risk of deadly condition as thousands of cases are missed,https://www.thesun.co.uk/wp-content/uploads/2022/08/NINTCHDBPICT000556055419.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19645366/womens-risk-deadly-heart-attack-thousands-missed/
HORMONAL HELL,"New side effect discovered in women taking the Pill, scientists claim",https://www.thesun.co.uk/wp-content/uploads/2022/08/NINTCHDBPICT000529830840.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19626470/new-side-effect-women-taking-pill-less-competitive/
CLEAVE IT OUT,My 38H boob is TWICE as big as the other - I'm always asked the same question,https://www.thesun.co.uk/wp-content/uploads/2022/08/RW-COMP-BOOBS-v2.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19617481/wonky-boobs-breasts-size-double-surgery-question/
THAT STINGS,The sex positions most and least likely to give you a UTI revealed,https://www.thesun.co.uk/wp-content/uploads/2022/06/NINTCHDBPICT000730815344.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/18959307/sex-positions-most-least-likely-uti/
YOUR CHOICE,British women will be able to get abortion pills by POST under new law,https://www.thesun.co.uk/wp-content/uploads/2022/08/jr-at-home-abortion.jpg?1661272737&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19595000/women-access-pills-by-post-home-abortions-permanently-law/
‘SHADOW OF MYSELF’,I looked six months pregnant - but the truth is heartbreaking,https://www.thesun.co.uk/wp-content/uploads/2022/08/tp-composite-health.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19590546/people-think-im-six-months-pregnant-fibroids/
SYMPTOM CHECK,My fake tan revealed I had cancer - check these signs every month,https://www.thesun.co.uk/wp-content/uploads/2022/08/newspress-collage-19581243-1661167976599.jpg?1661171620&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19581243/my-fake-tan-revealed-cancer-check-signs-every-month/
MY AGONY,I got a menstrual cup stuck in my UTERUS for months - sex managed to get it out,https://www.thesun.co.uk/wp-content/uploads/2022/08/newspress-collage-19546859-1660821679805.jpg?1660825316&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19546859/menstrual-cup-stuck-uterus-months-sex-got-out/
DOCTOR’S ORDERS,I'm a 'vaginacologist' - the key female sex organ is NOT what you think,https://www.thesun.co.uk/wp-content/uploads/2022/08/NINTCHDBPICT000634180138.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19535302/vaginacologist-reveals-most-important-female-sex-organ-brain/
LIBIDO BOOST,Pregnant women get friskier in bed in their second trimester study reveals,https://www.thesun.co.uk/wp-content/uploads/2022/08/NINTCHDBPICT000753730662-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19531190/pregnant-women-get-friskier-bed-second-trimester/
EAT UP,I’m a nutritionist - here’s 5 things EVERY parent needs to know about weaning,https://www.thesun.co.uk/wp-content/uploads/2020/03/NINTCHDBPICT000488387755.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19410079/five-things-parents-need-know-about-weaning/
TAKE CONTROL,I'm a GP - here's how the weather can make your contraception LESS effective,https://www.thesun.co.uk/wp-content/uploads/2022/06/NINTCHDBPICT000691130866-1.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19325861/gp-weather-can-make-contraception-less-effective/
'CONFUSING','Women' left off NHS period website and replaced with 'everyone that bleeds',https://www.thesun.co.uk/wp-content/uploads/2022/08/aj-woke-comp.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19465279/nhs-period-advice-gender-neutral/
MUM'S THE WORD,Warning to pregnant women as NHS faces shortage of pain relief,https://www.thesun.co.uk/wp-content/uploads/2022/08/NINTCHDBPICT000245149003.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19452647/warning-pregnant-women-nhs-shortage-pain-relief/
BREAST AWARE,The 7 different types of boobs and what they say about your health,https://www.thesun.co.uk/wp-content/uploads/2022/08/KH-COMP-BREAST-SHAPE.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19450198/different-types-boobs-what-say-about-health/
‘WARN US’,Sarah Jayne Dunn urges NHS to be more honest about physical risks of childbirth,https://www.thesun.co.uk/wp-content/uploads/2022/08/crop-19444051.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19443864/sarah-jayne-dunn-nhs-physical-risks-childbirth/
SEXUAL HEALING,10 ways sex gives you lust for life - from boosting immunity to easing pain,https://www.thesun.co.uk/wp-content/uploads/2022/08/comp-cfp-health.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19438196/sex-boosting-immunity-easing-pain/
'BE BRAVE',Deb James told kids life won't always go to plan & urged them to marry for love,https://www.thesun.co.uk/wp-content/uploads/2022/08/TMcomp-Deborah-v2.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19438295/deborah-james-final-letter-family-advice/
JAB HAPPY,'Life-saving' cancer jab could be rolled out to MORE women - are you eligible?,https://www.thesun.co.uk/wp-content/uploads/2022/07/NINTCHDBPICT000749879907.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19420818/cervical-cancer-vaccine-given-more-women/
ANATOMY QUIZ,Less than half of adults can correctly label female anatomy - can you?,https://www.thesun.co.uk/wp-content/uploads/2022/08/ac-name-parts-female-anatomy-graphic-01.jpg?crop=0px%2C0px%2C1500px%2C1000px&resize=150%2C100,https://www.thesun.co.uk/health/19417651/less-than-half-label-female-anatomy/
MENOPAUSE MATTERS,How the age a woman reaches menopause can predict risk of silent killer,https://www.thesun.co.uk/wp-content/uploads/2022/08/NINTCHDBPICT000685553808.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19414437/age-at-menopause-predict-risk-killer-heart-failure/
DOCTOR'S ORDERS,I’m a doctor - you’ve been showering all wrong and it's harming your health,https://www.thesun.co.uk/wp-content/uploads/2022/08/newspress-collage-19404556-1659524538453.jpg?1659528179&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19404556/doctor-showering-all-wrong-harming-health/
LOCATION LOCATION,Where you live could lower your chances of pregnancy by a fifth,https://www.thesun.co.uk/wp-content/uploads/2018/02/nintchdbpict000385129344.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19394671/where-live-lower-chances-of-pregnancy-by-fifth/
BREAK THE TABOO,Millions of women 'too embarrassed' to talk about periods with partner,https://www.thesun.co.uk/wp-content/uploads/2020/01/NINTCHDBPICT000358754297.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19349186/millions-women-embarrassed-periods/
DARK DAYS,Carol Vorderman says she felt ‘suicidal’ as she opens up about health battle,https://www.thesun.co.uk/wp-content/uploads/2022/07/RM-carol-comp-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19344684/carol-vorderman-felt-suicidal-opens-up-health-battle/
HEARTBROKEN,As Kate Ferdinand opens up about miscarriage - the 5 signs no mum should ignore,https://www.thesun.co.uk/wp-content/uploads/2022/07/RM-kate-ferd-comp.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19343423/kate-ferdinand-heartbreaking-miscarriage-signs/
MUM’S THE WORD,Warning to pregnant women as risk of complication soars in summer months,https://www.thesun.co.uk/wp-content/uploads/2022/07/NINTCHDBPICT000747984881-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19311931/warning-pregnant-women-risk-complication-soars-summer/
EYE OPENER,I thought my headache was a hangover - but I collapsed with mystery illness,https://www.thesun.co.uk/wp-content/uploads/2022/07/COMP_LY_MAULT.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19247513/thought-headache-was-a-hangover/
HEALTH CHECK,"Women plagued by endometriosis ‘at increased risk of silent killer’, docs warn",https://www.thesun.co.uk/wp-content/uploads/2022/07/NINTCHDBPICT000723908963-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/19285636/women-plagued-endometriosis-increased-risk-silent-killer/
BREAST ASSETS,I’m a doctor - here’s the 7 reasons your boobs sag and how to fix it,https://www.thesun.co.uk/wp-content/uploads/2022/07/NINTCHDBPICT000748833971.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19282852/doctor-reasons-boobs-sag-how-fix-it/
MENOPAUSE MATTERS,Menopausal women to get HRT pills over the counter for the first time,https://www.thesun.co.uk/wp-content/uploads/2022/07/NINTCHDBPICT000742133521.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/19271381/menopausal-women-hrt-medication-over-counter-first-time/
ACNE AGONY,Combat and soothe menopausal acne with this new £29 face mask treatment,https://www.thesun.co.uk/wp-content/uploads/2021/08/faace_new-9-1.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/fabulous/15779747/menopausal-acne-new-face-mask-treatment/
