titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Thẻ Đăng Nhập Phong Ấn Siêu Cấp,Chapter 96,Tình trạng:Đang tiến hành,Bình luận:1.527,Ngày cập nhật:2 giờ trước,Lượt xem:5.117K,,//st.nettruyenup.com/data/comics/140/the-dang-nhap-phong-an-sieu-cap.jpg,https://www.nettruyenup.com/truyen-tranh/the-dang-nhap-phong-an-sieu-cap-411000
Tử Thần Phiêu Nguyệt,Chapter 51,Tình trạng:Đang tiến hành,Bình luận:10K,Ngày cập nhật:2 giờ trước,Lượt xem:5.859K,,//st.nettruyenup.com/data/comics/204/tu-than-phieu-nguyet.jpg,https://www.nettruyenup.com/truyen-tranh/tu-than-phieu-nguyet-652281
Horobi No Kuni No Seifukusha: Maou wa sekai o seifuku suru youdesu,Chapter 8,"Thể loại:Action, Adventure, Fantasy, Manga, Shounen",Tình trạng:Đang tiến hành,Bình luận:238,Tác giả:Fude Oruka,"Chưa từng cảm nhận được tình yêu gia đình, anh ta được tái sinh ở thế giới khác. Với cái tên mới Yuuri, anh ấy được cha mẹ yêu thương và sống một cuộc sốngl yên bình. Đáng lẽ vậy. Tuy nhiên, vương quốc của Yuuri đã bị đe doạ bởi ""những nhân loại khác"" người thống trị đại lục rộng lớn và đổ nát. Yuuri và gia đình không tránh khỏi nó và bị cuốn vào trận chiến... Knights' s House, Thanh kiếm của vương quốc đã dương ngọn thương và những con chim Kakedori. Cái chết của người bác, trưởng tộc Hou đã đưa cha Yuuri trở lại thế giới Hiệp Sĩ. Yuri buộc phải nhập học vào Học Viện Hiệp Sĩ, nơi các hiệp sĩ được huấn luyện. Biến cố này đã thay đổi số phận của Yuuri và cả Vương quốc. Đây là câu chuyện về con người chiến đấu vì những người anh yêu quý và sau này được biết đến như một ""Ma Vương"".",//st.nettruyenup.com/data/comics/34/horobi-no-kuni-no-seifukusha-maou-wa-sek-9619.jpg,https://www.nettruyenup.com/truyen-tranh/horobi-no-kuni-no-seifukusha-maou-wa-sekai-o-seifuku-suru-youdesu-65058
A Story About a Very Ordinary Couple,Chapter 19,"Thể loại:Manga, Romance, Slice of Life",Tình trạng:Đang tiến hành,Bình luận:720,Tác giả:Tokiwa,Một câu chuyện về một cặp đôi rất đỗi bình thường,//st.nettruyenup.com/data/comics/80/a-story-about-a-very-ordinary-couple.jpg,https://www.nettruyenup.com/truyen-tranh/a-story-about-a-very-ordinary-couple-64080
Tôi Đã Có Chồng Sau Khi Nhặt Được Nam Chính,Chapter 48.2,"Thể loại:Cổ Đại, Manhwa, Ngôn Tình, Shoujo, Truyện Màu, Xuyên Không",Lượt xem:3.984K,Theo dõi:49K,Tình trạng:Đang tiến hành,"Xuyên sách trở thành Lizelle Proscier, người vì phung phí tiền bạc cho những thứ đồ xa xỉ nên đã khiến gia đình Nam tước Proscier rơi vào khủng hoảng và phá sản. Nữ chính trong lúc cố gắng tìm cách trả nợ để chuộc lỗi cho Lizelle gốc thì vô tình nhìn thấy tờ rơi từ Công tước với nội dung muốn tìm một cậu bé thất lạc. Tiền thưởng nhiều đến mức dù có trừ ra nợ vẫn dư sức cho cô sống an nhàn cả đời. Với những ký ức còn sót lại khi đọc cuốn tiểu thuyết, cô nhanh chóng tìm ra cậu bé trong một ngôi làng nghèo, người mà là nam chính của tiểu thuyết, Rapelion Heillos. Lizelle đưa cậu bé đến gặp Công tước Chaster và anh đề nghị cô ở lại dinh thự để xác nhận vài điều. Thời gian trôi qua và Rapelion dường như coi Lizelle là mẹ cậu, do đó mà cô không thể rời đi. Đúng lúc đấy, Công tước Chaster yêu cầu một hợp đồng hôn nhân có giá trị gấp 10 lần tiền thưởng. “Liệu ta có thể gọi em là “em yêu” không?” – Cuộc đời Lizelle rồi sẽ trôi về đâu?",//st.nettruyenup.com/data/comics/199/toi-da-co-chong-sau-khi-nhat-duoc-nam-ch-8318.jpg,https://www.nettruyenup.com/truyen-tranh/toi-da-co-chong-sau-khi-nhat-duoc-nam-chinh-63687
Tiệm Hoa Hướng Dương Góc Phố,Chapter 57,"Thể loại:Manhua, Ngôn Tình, Romance, Shoujo, Truyện Màu",Tình trạng:Đang tiến hành,Bình luận:2.420,Tác giả:Thỏ Nhai Tử,"Hòa Du 18 tuổi thành sinh viên năm nhất. ngày đầu tiên đến thành phố mới liền bị chàng trai lạ khinh bỉ. Trong lúc buồn bã cô ấy đã bị thu hút ánh nhìn đến trước một tiệm hoa góc phố, được vị bà chủ xinh đẹp nhiệt tình dẫn vào tiệm, mong cô ấy có thể trở thành nhân viên làm thêm ở đây. con trai của bà chủ lại chính là chàng trai trước đó đã khinh bỉ cô ấy. mà trong tiệm còn đặt thứ mà lúc nhỏ cô từng thấy… chậu hoa có sức mạnh kỳ diệu. vậy nên liệu chàng trai lạnh lùng trước mặt đây có phải bé trai “phép thuật” đã giúp đỡ cô ấy lúc nhỏ không?",//st.nettruyenup.com/data/comics/26/tiem-hoa-huong-duong-goc-pho.jpg,https://www.nettruyenup.com/truyen-tranh/tiem-hoa-huong-duong-goc-pho-555780
Cách Để Em Bảo Vệ Anh,Chapter 88.2,Tình trạng:Đang tiến hành,Bình luận:3.576,Ngày cập nhật:3 ngày trước,Lượt xem:10M,"Tôi đã kết hôn với người đàn ông rất căm ghét mình. Vì mẹ mình đã giết chết cả gia đình anh ấy. “Trước khi kết hôn, có một điều chúng ta cần hứa với nhau. Sau nửa năm, hai chúng ta hãy ly hôn đi.” “… Hả?” “Dù sao cũng là miễn cưỡng kết hôn mà. Tôi nghĩ cũng chẳng cần giữ lại cuộc hôn nhân không ai mong muốn này.” “Là cuộc hôn nhân, không ai mong muốn.” Người ấy lặp lại lời tôi từng nói một cách thẫn thờ.",//st.nettruyenup.com/data/comics/200/cach-de-em-bao-ve-anh.jpg,https://www.nettruyenup.com/truyen-tranh/cach-de-em-bao-ve-anh-414169
Tiên Tôn Lạc Vô Cực,Chapter 197,Tình trạng:Đang tiến hành,Bình luận:30K,Ngày cập nhật:3 giờ trước,Lượt xem:67M,,//st.nettruyenup.com/data/comics/230/tien-ton-lac-vo-cuc.jpg,https://www.nettruyenup.com/truyen-tranh/tien-ton-lac-vo-cuc-370940
Player,Chapter 47,Tình trạng:Đang tiến hành,Bình luận:720,Ngày cập nhật:3 giờ trước,Lượt xem:671K,,//st.nettruyenup.com/data/comics/0/player.jpg,https://www.nettruyenup.com/truyen-tranh/player-286720
Tất Cả Chỉ Là Sai Lầm,Chapter 83,"Thể loại:Chuyển Sinh, Drama, Manhwa, Ngôn Tình, Truyện Màu, Xuyên Không",Lượt xem:953K,Theo dõi:13K,Tình trạng:Đang tiến hành,"Valrose đã tái sinh thành một vai phản diện trong một cuốn sách nọ. Để tránh số mệnh bị hỏa thiêu trên cột, cô tiếp cận người hùng, Nocton Edgar.",//st.nettruyenup.com/data/comics/236/tat-ca-chi-la-sai-lam.jpg,https://www.nettruyenup.com/truyen-tranh/tat-ca-chi-la-sai-lam-72684
Luyện Khí Một Vạn Tầng,Chapter 15,Tình trạng:Đang tiến hành,Bình luận:689,Ngày cập nhật:3 giờ trước,Lượt xem:404K,"Ta đã luyện được 10.000 tầng Khí, tại sao còn chưa xây dựng cơ sở!\"" Tô Ly, người đứng đầu về tu luyện trong ba năm liên tiếp, đã trở thành trò cười của cả trường trước kỳ thi tuyển sinh đại học bởi vì anh ấy là ứng cử viên duy nhất trong năm thứ ba của trường trung học không xây dựng được nền tảng, điều xui xẻo hơn nữa là anh ấy lần lượt gặp phải những sát thủ do tổ chức tà ác phái đến, trời định giết mình hay còn có người khác huyền bí! Hãy xem cậu bé luyện khí phá vỡ tình huống trên trời như thế nào!",//st.nettruyenup.com/data/comics/237/luyen-khi-mot-van-tang.jpg,https://www.nettruyenup.com/truyen-tranh/luyen-khi-mot-van-tang-77549
Công Chúa Ashtarte,Chapter 32,Tình trạng:Đang tiến hành,Bình luận:2.043,Ngày cập nhật:3 giờ trước,Lượt xem:1.941K,"“Đế chế Firenze sẽ gặp ánh sáng và bóng tối mới, nhưng bóng tối sẽ nuốt chửng ánh sáng và đưa đế chế đến chỗ hủy diệt.” Trong một gia đình hoàng gia được ca tụng vì những chiếc khóa bạc của họ, mái tóc đen độc đáo của Công chúa Ashtarte ngay lập tức bị coi là điềm xấu. Với việc gia đình xa lánh cô vì đã được tiên tri bóng tối, tất cả những gì Ashtarte muốn là được yêu thương, và học phép thuật là lựa chọn duy nhất của cô để đạt được điều đó. Một ngày nọ, cô tình cờ gặp một câu thần chú của định mệnh dịch chuyển cô đến một nơi vô định. Chờ đợi cô ấy là một cậu bé bị cùm tên là Abelion Elforman, người đang bị trói buộc bởi một quá khứ nghiệt ngã của chính mình. Liệu hai người này có thể làm việc cùng nhau để mang lại ánh sáng cho số phận đen tối của họ?",//st.nettruyenup.com/data/comics/33/cong-chua-ashtarte.jpg,https://www.nettruyenup.com/truyen-tranh/cong-chua-ashtarte-660822
"Không Nhường Nữa Ta Chết, Ta Liền Thật Vô Địch",Chapter 61,"Thể loại:Action, Manhua, Truyện Màu",Lượt xem:6.056K,Theo dõi:78K,Tình trạng:Đang tiến hành,"Người xuyên việt Diệp Ninh thu hoạch được kim thủ chỉ, chỉ cần sau khi chết liền có thể trở thành Thiên Đế. Thế là hắn bắt đầu điên cuồng tìm đường chết. Nhưng hắn rất nhanh liền phát hiện thế giới này có độc. Đại Chu Nữ Đế: “Gặp một lần Diệp Ninh lầm cả đời, hắn mà chết, trẫm tuyệt không chịu sống một mình.” Thượng giới Tiên Quân: “Thế nhân nhiều lạnh lùng, chỉ có Diệp đại nhân chưa từng chán ghét mà vứt bỏ ta, cho nên ta muốn liều mạng bảo hộ hắn.” Ức vạn nhân tộc: “Thiên hạ ai đều có thể thiếu khuyết, duy chỉ có không thiếu được Diệp đại nhân, thiên cổ một thánh, duy Diệp Ninh tai!”...... Diệp Ninh: “Van cầu, đừng thêm hí được không? Ta đều nhanh vô địch làm sao còn chết không được a?”",//st.nettruyenup.com/data/comics/162/khong-nhuong-nua-ta-chet-ta-lien-that-vo-4882.jpg,https://www.nettruyenup.com/truyen-tranh/khong-nhuong-nua-ta-chet-ta-lien-that-vo-dich-64418
Kiếm Tu Imba Nhất Quả Đất,Chapter 167,"Thể loại:Action, Chuyển Sinh, Manhua, Truyện Màu",Lượt xem:12M,Theo dõi:89K,Tình trạng:Đang tiến hành,"Sự cố bất ngờ trước đêm khi vương thăng trọng sinh quay lại nguyên khí thiên địa, không cam tâm sự dốt nát tầm thường giống như kiếp trước , sau đó quyết định lên võ đang bái sư , dưới cơ duyên lại bái sư với đại lão của  kiếp trước, không có thích thú, không có sự chúc mừng, chỉ có sư phụ bụng dạ xấu xa và sư tỷ ít nói, nhưng không biết con đường tu tiên chỉ vừa mới bắt đầu …..",//st.nettruyenup.com/data/comics/194/kiem-tu-imba-nhat-qua-dat.jpg,https://www.nettruyenup.com/truyen-tranh/kiem-tu-imba-nhat-qua-dat-493460
Siêu Thần Chế Tạp Sư,Chapter 110,Tình trạng:Đang tiến hành,Bình luận:4.513,Ngày cập nhật:3 giờ trước,Lượt xem:7.112K,,//st.nettruyenup.com/data/comics/50/sieu-than-che-tap-su.jpg,https://www.nettruyenup.com/truyen-tranh/sieu-than-che-tap-su-443380
Thông U Đại Thánh,Chapter 106,Tình trạng:Đang tiến hành,Bình luận:1.301,Ngày cập nhật:3 giờ trước,Lượt xem:4.430K,"Cố thành ý bỏ mình ngoài ý muốn, xuyên không đến một thế giới tiên hiệp chí quái trở thành xuống dốc quý tộc Đại Càn trung dũng Hầu phủ Đại công tử. Vì tránh né di nương ám sát, rời đi kinh thành, gia nhập trừng trị thiên địa Võng Lượng tĩnh đêm ti. Quỷ bí giang hồ, yêu dị nhiều lần ra, triều đình mục nát, võ lâm thế gia, quần hùng cũng",//st.nettruyenup.com/data/comics/65/thong-u-dai-thanh.jpg,https://www.nettruyenup.com/truyen-tranh/thong-u-dai-thanh-423050
Tôi Là Người Môi Giới Của Ngôi Nhà Kỳ Quái,Chapter 116,Tình trạng:Đang tiến hành,Bình luận:2.923,Ngày cập nhật:3 giờ trước,Lượt xem:4.016K,,//st.nettruyenup.com/data/comics/220/toi-la-nguoi-moi-gioi-cua-ngoi-nha-ky-qu-9219.jpg,https://www.nettruyenup.com/truyen-tranh/toi-la-nguoi-moi-gioi-cua-ngoi-nha-ky-quai-383640
Bị Dạy Dỗ Thành Thánh,Chapter 211,"Thể loại:Action, Chuyển Sinh, Comedy, Drama, Fantasy, Manhua, Truyện Màu",Lượt xem:21M,Theo dõi:105K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/28/bi-day-do-thanh-thanh.jpg,https://www.nettruyenup.com/truyen-tranh/bi-day-do-thanh-thanh-363800
Lăng Thiên Thần Đế,Chapter 332,Tình trạng:Đang tiến hành,Bình luận:12K,Ngày cập nhật:3 giờ trước,Lượt xem:56M,,//st.nettruyenup.com/data/comics/83/lang-thien-than-de.jpg,https://www.nettruyenup.com/truyen-tranh/lang-thien-than-de-300350
Vú Em Tiên Tôn Đi Ở Rể,Chapter 359,Tình trạng:Đang tiến hành,Bình luận:5.770,Ngày cập nhật:3 giờ trước,Lượt xem:40M,,//st.nettruyenup.com/data/comics/221/vu-em-tien-ton-di-o-re.jpg,https://www.nettruyenup.com/truyen-tranh/vu-em-tien-ton-di-o-re-281250
Sứ Đồ Vô Hạn và 12 Chiến Cơ,Chapter 309,"Thể loại:Action, Adventure, Comedy, Manhua, Truyện Màu",Lượt xem:25M,Theo dõi:72K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/12/su-do-vo-han-va-12-chien-co.jpg,https://www.nettruyenup.com/truyen-tranh/su-do-vo-han-va-12-chien-co-276600
Tru Tà,Chapter 123,"Thể loại:Horror, Manhua, Mystery, Truyện Màu, Webtoon",Tình trạng:Đang tiến hành,Bình luận:1.906,Tác giả:Tối Hảo Đích Qua,"Truyện chuyển thể tử tiểu thuyết cùng tên. Thiếu niên Tần Hoài khi sinh đã gặp nhiều xui xẻo. Vì muố được sống, đã đấu với số mạng, rơi vào âm mưu càng lúc càng sâu. Cho đến khi đạo trưởng Trương Nhất Thanh xuất hiện, dẫn cậu ta đặt chân vào đạo môn. Tần Hoài tư phi phàm, mặc ý tiêu dao...",//st.nettruyenup.com/data/comics/46/tru-ta.jpeg,https://www.nettruyenup.com/truyen-tranh/tru-ta-259020
Đại Tượng Vô Hình,Chapter 295,Tác giả:Phan Kỳ Động Mạn,Lượt xem:30M,Theo dõi:95K,Tình trạng:Đang tiến hành,"Nữ chính trong một lần tai nạn xe bị sinh vật bí ẩn gá vào người, sau khi tỉnh lại đến một thế giới yêu linh. Trong lúc cô ấy sợ hãi, tuyệt vọng thì xuất hiện một thiếu niên cứu cô ta về hiện thế. Thì ra thế giới này có yêu linh, sinh vật trong cơ thể cô ta là yêu linh tên ""Nhân Tiêu"", không cách nào đẩy yêu linh ra ngoài được, cùng đồng hành trên con đường trừ yêu...",//st.nettruyenup.com/data/comics/234/dai-tuong-vo-hinh.jpg,https://www.nettruyenup.com/truyen-tranh/dai-tuong-vo-hinh-258340
Tu Tiên Trở Về Tại Vườn Trường,Chapter 427,Tình trạng:Đang tiến hành,Bình luận:19K,Ngày cập nhật:3 giờ trước,Lượt xem:110M,Bị ám toán chết và trọng sinh về hiện đại đúng lúc...,//st.nettruyenup.com/data/comics/39/tu-tien-tro-ve-tai-vuon-truong.jpg,https://www.nettruyenup.com/truyen-tranh/tu-tien-tro-ve-tai-vuon-truong-253830
Đạp Toái Tiên Hà,Chapter 306,Tình trạng:Đang tiến hành,Bình luận:2.317,Ngày cập nhật:3 giờ trước,Lượt xem:29M,,//st.nettruyenup.com/data/comics/57/dap-toai-tien-ha.jpg,https://www.nettruyenup.com/truyen-tranh/dap-toai-tien-ha-238650
Bách Luyện Thành Thần,Chapter 1040,Tình trạng:Đang tiến hành,Bình luận:54K,Ngày cập nhật:3 giờ trước,Lượt xem:226M,"Cảnh giới: Luyện nhục cảnh, Luyện cốt cảnh, Luyện tạng cảnh.... La Chính vì gái mà bị đày làm nô bộc. La Bái Nhiên tham vọng đầy mình :)) La Chính lại vì gái mà đâm đầu tu luyện :)) La Gia trong phủ nước sôi lửa bỏng, tranh giành kịch liệt... thôi thì đọc tiếp sẽ biết :) 1 thanh niên dại gái tu luyện võ công =))",//st.nettruyenup.com/data/comics/84/bach-luyen-thanh-than.jpg,https://www.nettruyenup.com/truyen-tranh/bach-luyen-thanh-than-110927
Mạt Thế Cùng Bạn Gái Zombie,Chapter 76,Tình trạng:Đang tiến hành,Bình luận:1.109,Ngày cập nhật:3 giờ trước,Lượt xem:1.711K,,//st.nettruyenup.com/data/comics/32/mat-the-cung-ban-gai-zombie.jpg,https://www.nettruyenup.com/truyen-tranh/mat-the-cung-ban-gai-zombie-415040
Lục nhân thập tự giá,Chapter 96,Tình trạng:Đang tiến hành,Bình luận:4.285,Ngày cập nhật:5 ngày trước,Lượt xem:5.222K,"Shun - Một học sinh lớp 6 đã bị nhóm bạn 5 người cùng lớp bắt nạt. Để cha mẹ và em trai không phát hiện, cậu đã luôn tươi cười và nói dối sau khi những trận bắt nạt, nhưng sự bắt nạt ấy càng trở nên tồi tệ hơn....",//st.nettruyenup.com/data/comics/216/luc-nhan-thap-tu-gia-5239.jpg,https://www.nettruyenup.com/truyen-tranh/luc-nhan-thap-tu-gia-37592
Ác Quỷ,Chapter 126,Tình trạng:Đang tiến hành,Bình luận:1.625,Ngày cập nhật:3 giờ trước,Lượt xem:3.686K,"Vị công nương bị giam lỏng trong tòa tháp đang phải đối mặt với một cuộc hôn nhân. Chồng nàng là người đã nhiều lần giết vợ. Khiếp sợ trước hoàn cảnh ấy, nàng đã đập vỡ những chiếc quan tài dưới tầng hầm và kêu gọi ác quỷ ....",//st.nettruyenup.com/data/comics/116/ac-quy.jpg,https://www.nettruyenup.com/truyen-tranh/ac-quy-405641
Vì Muốn Tỏ Tình Với Cô Lễ Tân Nên Tôi Thường Xuyên Lui Tới Guild Rồi Dần Trở Thành Dũng Giả,Chapter 16,"Thể loại:Comedy, Fantasy, Manga, Romance",Tình trạng:Đang tiến hành,Bình luận:1.180,Tác giả:Nekomata,Vì Muốn Tỏ Tình Với Cô Lễ Tân Nên Tôi Thường Xuyên Lui Tới Guild Rồi Dần Trở Thành Dũng Giả,//st.nettruyenup.com/data/comics/2/vi-muon-to-tinh-voi-co-le-tan-nen-toi-th-5725.jpg,https://www.nettruyenup.com/truyen-tranh/vi-muon-to-tinh-voi-co-le-tan-nen-toi-thuong-xuyen-lui-toi-guild-roi-dan-tro-thanh-dung-gia-535060
Đại Tiểu Thư Có Ý Đồ Gì Xấu Đâu,Chapter 175,"Thể loại:Drama, Fantasy, Manhua, Ngôn Tình, Truyện Màu",Lượt xem:16M,Theo dõi:108K,Tình trạng:Đang tiến hành,"Lên kế hoạch nhiều năm, thiên kim bá khí Đồng Duyệt quyết tâm bắt những kẻ đã làm tổn thương mình phải trả giá, nhưng khi xé xác kẻ thù của mình cô liền bị Hàn Thiên Lân ngăn cản, kéo tình nhân vào bí mật của mình nên đối mặt ra sao, Đồng Duyệt tỏ ý, đối phó với anh ta, chỉ cần búng tay một phát là được.",//st.nettruyenup.com/data/comics/234/dai-tieu-thu-co-y-do-gi-xau-dau.jpg,https://www.nettruyenup.com/truyen-tranh/dai-tieu-thu-co-y-do-gi-xau-dau-432421
Đại Phụng Đả Canh Nhân,Chapter 127,Tình trạng:Đang tiến hành,Bình luận:4.422,Ngày cập nhật:4 giờ trước,Lượt xem:7.081K,,//st.nettruyenup.com/data/comics/107/dai-phung-da-canh-nhan.jpg,https://www.nettruyenup.com/truyen-tranh/dai-phung-da-canh-nhan-556590
Vua Bóng Chuyền,Chapter 355,Tác giả:Furudate Haruichi,Lượt xem:5.060K,Theo dõi:19K,Tình trạng:Đang tiến hành,"Tên khác: Haikyuu!!; Furudate Haruichi Câu chuyện về Hinata Shouyou, Một học sinh cấp 3 yêu thích và tham gia vào 1 Câu Lạc Bộ bóng chuyền.... Không có kỹ năng nhưng có tài năng.... Hãy xem cậu ấy thể hiện nó để đi đến đỉnh cao Bóng Chuyền như thế nào đi nào!!",//st.nettruyenup.com/data/comics/207/vua-bong-chuyen.jpg,https://www.nettruyenup.com/truyen-tranh/vua-bong-chuyen-137750
