titles,discripsion,lastest_Chap,condition,view,follow,link 
"Sau Khi Bị Dũng Sĩ Cướp Đi Mọi Thứ, Tôi Đã Lập Tổ Đội Cùng Với Mẹ Của Dũng Sĩ!",Bị NTR? Đi ntr lại thằng bố của nó.   Hãy ủng hộ nhóm tại:   Homepage: cabfansub.com Fanpage: fb.com/CabFansub | fb.com/CabFansub2.0 Discord: https://discord.gg/cywJmuFX7g,Chapter 2,Tình trạng: Đang Cập Nhật,"Lượt xem: 45,807","Lượt theo dõi: 1,059",https://truyenqqhot.com/truyen-tranh/sau-khi-bi-dung-si-cuop-di-moi-thu-toi-da-lap-to-doi-cung-voi-me-cua-dung-si-13498
Ác Nữ Trùng Sinh,"Từ thời thơ ấu, trách nhiệm đảm bảo thành công của anh trai luôn ám ảnh Artezia Rosan, ràng buộc tự do hạnh phúc của cô. Là một bậc thầy thao túng và kẻ đa mưu túc trí, cô trở thành cánh tay phải đắc lực giúp anh trai giành lấy ngai vàng. Cũng từ đó, lòng phản bội sâu sắc ngấm ngầm trong hắn ta, và ...",Chapter 145,Tình trạng: Đang Cập Nhật,"Lượt xem: 638,983","Lượt theo dõi: 2,162",https://truyenqqhot.com/truyen-tranh/ac-nu-trung-sinh-12976
Công Chúa Bé Con Nhìn Vào Cửa Sổ Trạng Thái,"Tôi đã bị lên án là một kẻ phản diện độc ác và bị kết án tử hình. Nhưng bằng một cách thần kì nào đó, tôi đã được quay trở về quá khứ khi mình còn là một đứa trẻ mới lên năm. Khoảnh khắc tôi đối mặt với cha mình, người trông bây giờ đã trẻ hơn hẳn, một cửa sổ màu xanh kỳ lạ bỗng hiện trước mắt tôi —...",Chapter 39,Tình trạng: Đang Cập Nhật,"Lượt xem: 343,681","Lượt theo dõi: 1,932",https://truyenqqhot.com/truyen-tranh/cong-chua-be-con-nhin-vao-cua-so-trang-thai-13115
Lời Tỏ Tình Đi Lạc,Pan Ha Yan đã chuẩn bị kỳ công và hồi hộp biết nhường nào cho kế hoạch tỏ tình với đàn anh trong trường mà mình thầm thương trộm nhớ. Nhưng oái oăm thay hộp quà tỏ tình ấy lại bay trúng đầu Seol Park Ha – yang lake của trường trung học khiến cậu hiểu lầm. Pan Ha Yan đã phải cực khổ và nỗ lực để khôn...,Chapter 49,Tình trạng: Đang Cập Nhật,"Lượt xem: 68,459",Lượt theo dõi: 347,https://truyenqqhot.com/truyen-tranh/loi-to-tinh-di-lac-13065
Tổng Tài! Đừng Trả Hàng Nha!,"Triệu Hạo là tổng tài của một tập đoàn lớn, đẹp trai, tài giỏi, giàu có, bời vì độc thân nhiều năm nên bị mọi người đồn là đồng tính luyến ái. Để loại bỏ lời đồn nên tổng tài đại nhân bỏ số tiền lớn ra để mua robot cao cấp Lục Thanh để đóng giả bạn gái của mình. Nhưng tại sao một robot rõ ràng chỉ l...",Chapter 75,Tình trạng: Đang Cập Nhật,"Lượt xem: 510,436","Lượt theo dõi: 2,771",https://truyenqqhot.com/truyen-tranh/tong-tai-dung-tra-hang-nha-5766
Hạnh Lâm Phương Hoa,"Cứu mạng! Không hiểu sao lại xuyên tới cổ đại, còn bị một nam thần y háo sắc cưỡng hôn! Quan trọng là, ta cũng là đàn ông a, mặc dù ngươi thích thân thể này nhưng cũng không nên hết việc là phi lễ ta chứ, ta mới là chủ nhân hiện tại của thân thể này!",Chapter 29,Tình trạng: Đang Cập Nhật,"Lượt xem: 10,241",Lượt theo dõi: 82,https://truyenqqhot.com/truyen-tranh/hanh-lam-phuong-hoa-13571
Kẻ Bị Vứt Bỏ Cường Đại Nhất,,Chapter 15,Tình trạng: Đang Cập Nhật,"Lượt xem: 150,154","Lượt theo dõi: 2,179",https://truyenqqhot.com/truyen-tranh/ke-bi-vut-bo-cuong-dai-nhat-13297
Một Đêm Không Bóng,"[ Nếu bạn vào rừng sâu, những cái bóng sẽ ăn thịt bạn. Bóng rừng di chuyển khi không có ai nhìn thấy. Sâu trong rừng có những bóng người lầm lũi. Bóng rừng lên tiếng.] Roselia của đoàn kỵ sĩ đêm trắng đã bị kẻ thù tấn công và mất tích trong cuộc thi săn bắn. Cố gắng tìm ra cô gái bị thương nặng dưới...",Chapter 21,Tình trạng: Đang Cập Nhật,"Lượt xem: 46,686",Lượt theo dõi: 441,https://truyenqqhot.com/truyen-tranh/mot-dem-khong-bong-12841
Giết Quái Để Thăng Cấp,,Chapter 13,Tình trạng: Đang Cập Nhật,"Lượt xem: 118,608","Lượt theo dõi: 1,775",https://truyenqqhot.com/truyen-tranh/giet-quai-de-thang-cap-13352
Võ Luyện Đỉnh Phong,"Võ đạo đỉnh phong, là cô độc, là tịch mịch, là dài đằng đẵng cầu tác, là cao xử bất thắng hàn Phát triển trong nghịch cảnh, cầu sinh nơi tuyệt địa, bất khuất không buông tha, mới có thể có thể phá võ chi cực đạo. Lăng Tiêu các thí luyện đệ tử kiêm quét rác gã sai vặt Dương Khai ngẫu lấy được một...",Chapter 3070,Tình trạng: Đang Cập Nhật,"Lượt xem: 79,528,699","Lượt theo dõi: 39,458",https://truyenqqhot.com/truyen-tranh/vo-luyen-dinh-phong-3926
Ta Là Đại Thần Tiên,"Thần đồng tên giang mới có bảy tuổi sinh trưởng quá nhanh nên bị đoản mệnh, vì là khôi phục cuộc sống bình thường, mang theo ký ức trong cơ thể một vị đại thần tiên xông vào Tiên giới, từ đây đi tới trở thành bá chủ Tiên giới mở ra con đường truyền kỳ...",Chapter 574,Tình trạng: Đang Cập Nhật,"Lượt xem: 12,766,738","Lượt theo dõi: 17,906",https://truyenqqhot.com/truyen-tranh/ta-la-dai-than-tien-5772
Chàng Rể Mạnh Nhất Lịch Sử,,Chapter 59,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,183,594","Lượt theo dõi: 9,363",https://truyenqqhot.com/truyen-tranh/chang-re-manh-nhat-lich-su-13103
Linh Khư,,Chapter 11,Tình trạng: Đang Cập Nhật,"Lượt xem: 34,118",Lượt theo dõi: 488,https://truyenqqhot.com/truyen-tranh/linh-khu-13710
Đấu La Đại Lục 5,"Nhất đại Thần Vương trùng sinh tại đôi này nhân loại cũng không hữu hảo yêu tinh trong đại lục, có thể hay không một lần nữa truy hồi thê tử. Thiên hình vạn trạng Yêu Thần biến lại sẽ mang lại cho hắn như thế nào trùng sinh chi đường? Đều ở nhất đại Thần Vương hành trình tìm vợ, Đấu La Đại Lục Bộ 5:...",Chapter 78,Tình trạng: Đang Cập Nhật,"Lượt xem: 609,210","Lượt theo dõi: 3,047",https://truyenqqhot.com/truyen-tranh/dau-la-dai-luc-5-12144
Himegoto - Juukyuusai No Seifuku,"Một cô nàng tomboy khao khát được trở nên nữ tính, bí mật mặc chiếc váy đồng phục cũ và tưởng tượng có người đàn ông hành hạ mình để th* d*m.Một cô gái đáng yêu và ngây thơ có vẻ ngoài trẻ hơn tuổi, sử dụng vẻ ngoài đó để kiếm tiền từ việc ""đón khách"" từ năm 15.Một chàng trai nổi tiếng và được yêu m...",Chapter 19,Tình trạng: Đang Cập Nhật,"Lượt xem: 150,730",Lượt theo dõi: 468,https://truyenqqhot.com/truyen-tranh/himegoto-juukyuusai-no-seifuku-13504
Nghịch Thiên Cải Mệnh,,Chapter 41,Tình trạng: Đang Cập Nhật,"Lượt xem: 676,746","Lượt theo dõi: 4,320",https://truyenqqhot.com/truyen-tranh/nghich-thien-cai-menh-12410
Vạn Tướng Chi Vương,"Lý lạc, Đệ nhất tướng thuật ngộ tính của học phủ nam phong? Chèn ép đồng bối, nhưng cũng là không tướng trời sinh, dần dần bị các bạn học đá ra phía sau.  Phương pháp giải quyết vấn đề không tướng của ba mẹ của lý lạc để lại  , lại rơi vào nghịch cảnh 5 năm phong hầu , nếu không sẽ chết .  Trong thi...",Chapter 268,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,093,481","Lượt theo dõi: 5,946",https://truyenqqhot.com/truyen-tranh/van-tuong-chi-vuong-11516
Tái Sinh Thành Công Chức Bình Thường Ở Một Thế Giới Xa Lạ,"Cậu ấy đang trên đường đi mua một ít bia để ăn mừng sự chấp nhận của mình với tư cách là một công chức thì đột nhiên bị xe tải-kun đập ngã và isekaid. Tái sinh trở thành Denburg Blade, con trai của trưởng tộc chiến binh huyền thoại, cậu ấy đã tiêu diệt các con quỷ vào năm lên 8 và một con rồng khi b...",Chapter 46,Tình trạng: Đang Cập Nhật,"Lượt xem: 731,870","Lượt theo dõi: 4,540",https://truyenqqhot.com/truyen-tranh/tai-sinh-thanh-cong-chuc-binh-thuong-o-mot-the-gioi-xa-la-12198
Quỷ Troll Mạnh Nhất Thế Giới,,Chapter 21,Tình trạng: Đang Cập Nhật,"Lượt xem: 183,965","Lượt theo dõi: 2,359",https://truyenqqhot.com/truyen-tranh/quy-troll-manh-nhat-the-gioi-13187
Cung Quỷ Kiếm Thần,"Cung là thứ binh khí vượt qua khoảng cách mà mắt thường nhìn được, thống trị cả những sinh mạng đang ẩn mình. Nếu thứ vũ khí vô hình này khát khao tìm kiếm sinh mạng nào đó, liệu còn thứ nào đáng sợ hơn nó hay không?",Chapter 164,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,408,851","Lượt theo dõi: 7,484",https://truyenqqhot.com/truyen-tranh/cung-quy-kiem-than-10599
Gậy Gỗ Cấp 99+,Đây là phiên bản gậy gỗ Saitama - Gõ phát chết luôn!!!!!!!!! Thanh niên main trong game thực tế ảo bị gái lừa giết chết rồi vô tình được cho 1 chiếc gậy gỗ tân thủ. Bug game khiến cho main cường hóa cây gậy này lên cấp 99+ tối đa. Đây là phiên bản gậy gỗ Saitama - Gõ phát chết luôn!!!!!!!!!,Chapter 53.6,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,922,705","Lượt theo dõi: 9,235",https://truyenqqhot.com/truyen-tranh/gay-go-cap-99-12236
Người Mới Này Quá Mạnh,"JaeJu lớn lên một cách khéo léo mà không có cha mẹ trong trại trẻ mồ côi, như tên của anh vậy. Một ngày nọ, anh nghe tin cô nhi viện đang gặp khó khăn và sẽ phải đóng cửa trong 3 năm. Trong khi cố gắng góp tiền cho trại trẻ mồ côi, JaeJu nhận được một cảnh báo trên điện thoại của anh. Trên đó, anh ấ...",Chapter 45,Tình trạng: Đang Cập Nhật,"Lượt xem: 682,760","Lượt theo dõi: 4,367",https://truyenqqhot.com/truyen-tranh/nguoi-moi-nay-qua-manh-12435
Isekai Nonbiri Nouka,,Chapter 139,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,259,135","Lượt theo dõi: 8,176",https://truyenqqhot.com/truyen-tranh/isekai-nonbiri-nouka-4290
"Thiên Phú Của Ngươi, Giờ Là Của Ta","100 năm trước, thế giới bỗng dưng xuất hiện các vết nứt không gian, hung thú thứ nguyên thừa cơ hội đó đã xâm nhập và đe dọa tới an nguy của nhân loại. Diệp Thiên, một thanh niên bất tài mồ côi cha mẹ cùng em gái đùm bọc nhau sống qua ngày. Một ngày nọ Diệp Thiên thức tỉnh năng lực phục chế ""thiên p...",Chapter 48,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,180,307","Lượt theo dõi: 8,634",https://truyenqqhot.com/truyen-tranh/thien-phu-cua-nguoi-gio-la-cua-ta-11494
Thể Thao Cực Hạn,,Chapter 434,Tình trạng: Đang Cập Nhật,"Lượt xem: 10,762,480","Lượt theo dõi: 10,551",https://truyenqqhot.com/truyen-tranh/the-thao-cuc-han-2641
Sống Như Một Diễn Viên,"Nam diễn viên 'Jang Young-guk', người đã đạt được thành công lớn với vai trò diễn viên phụ. Nhận giải Nam diễn viên phụ xuất sắc nhất đầu tiên và danh giá tại Giải thưởng Diễn xuất. Tuy nhiên, vào ngày đó, mẹ anh đã qua đời… Kinh hoàng trước cái chết của mẹ mình, người mà anh đã bỏ rơi trong nhiều n...",Chapter 11,Tình trạng: Đang Cập Nhật,"Lượt xem: 36,918",Lượt theo dõi: 568,https://truyenqqhot.com/truyen-tranh/song-nhu-mot-dien-vien-13128
Tôi Càng Ăn Càng Trở Nên Mạnh Mẽ,"Mỗi người đều có một năng lực riêng. Và năng lực của tôi là ‘ăn’. Năng lực này đặc biệt hữu dụng trong một thế giới nơi có vô số các loài sinh vật hùng mạnh cư ngụ. Khả năng ‘Yến thực’ giúp tôi tiêu thụ máu và thịt của những kẻ mạnh và đánh cắp sức mạnh của chúng. Kể cả có là rồng, quỷ vương, hay th...",Chapter 84,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,406,989","Lượt theo dõi: 7,433",https://truyenqqhot.com/truyen-tranh/toi-cang-an-cang-tro-nen-manh-me-11267
Phò Mã Hôm Nay Cũng Muốn Phản Công,"Nữ trưởng công chúa nổi tiếng háo sắc, đối với tiểu nhũ cẩu thuần tình này một trận mãnh công mãnh liệt trêu chọc. Không nghĩ tới thằng nhóc này, còn rất hung dữ! Làm nũng bán manh đùa giỡn lưu manh không gì không làm được, lại đem nàng trêu chọc đến cặn bã cũng không còn!",Chapter 14,Tình trạng: Đang Cập Nhật,"Lượt xem: 16,742",Lượt theo dõi: 284,https://truyenqqhot.com/truyen-tranh/pho-ma-hom-nay-cung-muon-phan-cong-13708
Tuyết Nữ Mizore,"Hành trình tiêu diệt mặt trời của ""nữ chúa tuyết"" với sự giúp đỡ của Himari và họ hàng của mình.",Chapter 17,Tình trạng: Đang Cập Nhật,"Lượt xem: 43,091",Lượt theo dõi: 390,https://truyenqqhot.com/truyen-tranh/tuyet-nu-mizore-6105
Mạnh Lên Từ Cõi Chết,,Chapter 37,Tình trạng: Đang Cập Nhật,"Lượt xem: 255,021","Lượt theo dõi: 2,375",https://truyenqqhot.com/truyen-tranh/manh-len-tu-coi-chet-12357
Nếu Không Vâng Lời Công Tước,"Cuộc hôn nhân thứ ba của Lillie, do cha cô ép buộc. Đối phương là một công tước còn được gọi là quái vật vì anh ta là một kẻ cuồng chiến, nhưng điều đó không quan trọng. Ngay từ đầu, tình cảm của Lillie đã không quan trọng. Tuy nhiên, trái ngược với những lời đồn đại, công tước là một người tốt bụng...",Chapter 50,Tình trạng: Đang Cập Nhật,"Lượt xem: 299,051","Lượt theo dõi: 1,434",https://truyenqqhot.com/truyen-tranh/neu-khong-vang-loi-cong-tuoc-13015
Thuần Hóa Ba Ba Bạo Quân,"Vì kết cục chết thảm của nam thần yêu thích nhất trong truyện tranh, cô gái nửa đêm oán giận tác giả, kết quả ngoài ý muốn xuyên vào trong sách. Không sợ! Nếu đã đến rồi, vậy thì để ta cứu số phận của nam thần đi. Chỉ là... ai có thể nói với ta, đứa bé mềm mại dễ thương trước mắt này, sao có thể là ...",Chapter 86,Tình trạng: Đang Cập Nhật,"Lượt xem: 103,625",Lượt theo dõi: 616,https://truyenqqhot.com/truyen-tranh/thuan-hoa-ba-ba-bao-quan-13526
Tôi Đã Giết Hắn,"“Mày tốt nhất không được kể lời nào. Nếu mày hé một lời, mày chết”. Kwon Soon-hyang, chủ của tòa nhà đốt ngột giết người thuê. Bảy năm sau, anh ấy bị giết bới một kẻ nào đó ngay trước khi mình đầu hàng. Shin Yeo-ju, một thám tử đã phát hiện ra một âm mưu kì lạ to lớn.",Chapter 35,Tình trạng: Đang Cập Nhật,"Lượt xem: 54,495",Lượt theo dõi: 580,https://truyenqqhot.com/truyen-tranh/toi-da-giet-han-12742
Trước Khi Vô Địch Ta Nợ Tình Quá Nhiều,"Thánh tôn Lăng Vân Phong cùng đồng bọn tín nhiệm trải qua đấu tranh sống chết cùng nhau khôi phục nền hòa bình. Vừa muốn hưởng thụ một chút không khí hòa bình thì đột nhiên nhớ ra trước khi mình vô địch thiên hạ thì mình còn nợ tình rất nhiều, còn có cả con. Nợ thì đến lúc phải trả, cô độc một mình ...",Chapter 58,Tình trạng: Đang Cập Nhật,"Lượt xem: 696,151","Lượt theo dõi: 3,830",https://truyenqqhot.com/truyen-tranh/truoc-khi-vo-dich-ta-no-tinh-qua-nhieu-13104
Tôi Sẽ Chỉ Sống Như Một Nhân Vật Phản Diện,"Tôi tái sinh thành một nhân vật phản diện từ một cuốn sách, thậm chí nhân vật đó còn có âm mưu giết người! Nhưng… ""Tôi không phải là những gì tôi muốn làm, vậy nên có nhất thiết để thay đổi nó?"" Tôi đã nghĩ về nó trong một thời gian nhưng sau đó tôi nhận ra rằng hãy ăn uống và sống thoả thích vậy là...",Chapter 69,Tình trạng: Đang Cập Nhật,"Lượt xem: 449,013","Lượt theo dõi: 3,619",https://truyenqqhot.com/truyen-tranh/toi-se-chi-song-nhu-mot-nhan-vat-phan-dien-10992
Ta Là Người Thu Thuế,"Một ngày, mắt tôi nhìn thấy môt lượng lớn số thuế bị dấu đi. ""Thế giới này thật bẩn thỉu."" Và để thực thi công lý, gã mọt sách Sở Thuế Quốc Gia bắt đầu múa kiếm. Từ những người dân bình thường cho đến các quan chức cấp cao, chủ tịch tập đoàn hay người nắm quyền cao, chức trọng. Không ai có thể thoát...",Chapter 37,Tình trạng: Đang Cập Nhật,"Lượt xem: 123,591","Lượt theo dõi: 1,033",https://truyenqqhot.com/truyen-tranh/ta-la-nguoi-thu-thue-12748
Chemy,"Cuộc sống của tôi quá tồi tàn cho đến khi tôi tham gia vào một thử nghiệm lâm sàng đáng ngờ cho một loại thuốc mới. ""Loại thuốc này có thể chứa tất cả kiến thức có thể được tạo ra bởi sinh học phân tử."" Han Jungwoo đã có thể vượt qua 1 trong số 10.000 tỷ lệ cược và thuốc đã có hiệu lực. ""Hãy tham gi...",Chapter 32,Tình trạng: Đang Cập Nhật,"Lượt xem: 116,361","Lượt theo dõi: 1,009",https://truyenqqhot.com/truyen-tranh/chemy-12774
Tiểu Manh Bảo Bốn Tuổi Theo Sư Phụ Xuống Núi,,Chapter 69,Tình trạng: Đang Cập Nhật,"Lượt xem: 205,628","Lượt theo dõi: 1,442",https://truyenqqhot.com/truyen-tranh/tieu-manh-bao-bon-tuoi-theo-su-phu-xuong-nui-13664
Công Chúa Tóc Đen,Một cô công chúa kết hôn với 1 vị hoàng tử... Nhưng họ lại muốn ly hôn,Chapter 91,Tình trạng: Đang Cập Nhật,"Lượt xem: 167,600","Lượt theo dõi: 2,146",https://truyenqqhot.com/truyen-tranh/cong-chua-toc-den-8978
Ta Ở Nhà 100 Năm Khi Ra Ngoài Đã Vô Địch,"ta rõ ràng đã biến thành thiếu gia của một gia đình quyền lực trong thế giới giả tưởng, nhưng bị đuổi khỏi nhà tổ tiên và sống trong một sân vườn hẻo lánh! ? Chu Xuân không quan tâm chút nào, nhưng ta hệ thống càng ngày càng mạnh! Chỉ cần tôi ở nhà là đủ! Tôi có thể đủ mạnh mẽ! Đinh ~ ở nhà  một ngà...",Chapter 58,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,030,804","Lượt theo dõi: 5,593",https://truyenqqhot.com/truyen-tranh/ta-o-nha-100-nam-khi-ra-ngoai-da-vo-dich-13108
Người Không Mời Mà Đến,"Hayden Grummond Fildette, con trai duy nhất của Bá tước và Nữ bá tước Fildette, là người thừa kế hoàn hảo và là mỏ neo đáng yêu, người đã gìn giữ gia đình của mình. Nhưng những ngày yên bình kết thúc khi một vị khách không mời mà đến từ quá khứ của cha cậu, đe dọa vị trí của Hayden với một người anh...",Chapter 63,Tình trạng: Đang Cập Nhật,"Lượt xem: 52,406",Lượt theo dõi: 335,https://truyenqqhot.com/truyen-tranh/nguoi-khong-moi-ma-den-13163
Ngôi Sao Cho Tôi,"Lúc Mộc Tử Tinh 5 tuổi thì gặp được một cậu bạn rất đẹp trai-Tư Nam, hai người trở thành thanh mai trúc mã. Tử Tinh sau buổi gặp mặt đầu tiên lúc đang chơi đất sét thì bị Tư Nam chê. Vốn dĩ tưởng rằng bản thân bị ghét rồi, nhưng lại không biết rằng, Tư Nam mới là người thực chất bị lôi cuốn và thu h...",Chapter 116,Tình trạng: Đang Cập Nhật,"Lượt xem: 715,682","Lượt theo dõi: 4,110",https://truyenqqhot.com/truyen-tranh/ngoi-sao-cho-toi-10344
Vạn Cổ Đệ Nhất Thần,"Truyện mô típ cũ nhưng thấy nét vẽ đẹp nên Ốc sẽ theo. Lần đầu dịch truyện thể loại tu tiên cổ trang có gì sai sót mong mọi người ném ít donate, phiếu đọc truyện, vàng... cho đầu óc Ốc thông minh thêm chút. Không sai, càng ném nhiều Ốc sẽ càng thông minh :D Lý Thiên mệnh nằm mơ cũng không thể ngờ đá...",Chapter 170,Tình trạng: Đang Cập Nhật,"Lượt xem: 3,166,781","Lượt theo dõi: 8,127",https://truyenqqhot.com/truyen-tranh/van-co-de-nhat-than-11155
Người Trái Đất Quả Thật Rất Tàn Ác,,Chapter 154,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,569,442","Lượt theo dõi: 7,335",https://truyenqqhot.com/truyen-tranh/nguoi-trai-dat-qua-that-rat-tan-ac-11868
Cuộc Sống Mới Của Công Nương,"Ở hiện đại, cô là một kẻ lừa đảo vô cùng thông minh nhưng cuối cùng vẫn phải hi sinh vì nhiệm vụ giết chủ tịch một tập đoàn lớn. Kiếp này, với tư cách là một bậc thầy hoá trang và chiến lược gia, nữ chính trở thành tội phạm lừa đảo hàng đầu xuyên quốc gia. Cô định đánh cắp chứng minh thư của hoàng t...",Chapter 64,Tình trạng: Đang Cập Nhật,"Lượt xem: 288,940","Lượt theo dõi: 2,229",https://truyenqqhot.com/truyen-tranh/cuoc-song-moi-cua-cong-nuong-11934
"Ta Sẽ Nuôi Dạy Con Của Ngài Thật Tốt, Bệ Hạ!","Cô đã trao tất cả cho con trai mình, Hoàng tử thứ 3 Leon, để anh làm hoàng đế. Vào ngày giấc mơ này được thực hiện, cô đến nơi đặt quan tài của hoàng đế đang an nghỉ, nơi cô tìm thấy con trai mình đang chết vì chất độc mà chính anh ta đã trúng. “Ta… chưa bao giờ cảm thấy hạnh phúc trong đời.” Chỉ cò...",Chapter 59,Tình trạng: Đang Cập Nhật,"Lượt xem: 240,895","Lượt theo dõi: 1,324",https://truyenqqhot.com/truyen-tranh/ta-se-nuoi-day-con-cua-ngai-that-tot-be-ha-12527
Một Ngày Nọ Cha Bỗng Dưng Xuất Hiện,,Chapter 20,Tình trạng: Đang Cập Nhật,"Lượt xem: 82,951","Lượt theo dõi: 1,075",https://truyenqqhot.com/truyen-tranh/mot-ngay-no-cha-bong-dung-xuat-hien-13511
Tôi Chán Nản Vì Chồng Thứ Hai Không Chung Thủy,,Chapter 4,Tình trạng: Đang Cập Nhật,"Lượt xem: 10,729",Lượt theo dõi: 191,https://truyenqqhot.com/truyen-tranh/toi-chan-nan-vi-chong-thu-hai-khong-chung-thuy-13624
Tôi Trở Thành Nhân Vật Phản Diện Thực Sự,"Seria Stern – Một nhân vật phản diện khiến tất cả mọi người phải run sợ, bị ruồng bỏ bởi cái xã hội khắc nghiệt bỗng thay đổi và trở nên ngoan ngoãn. Nhưng thực tế, linh hồn trong cơ thể của cô ấy là một người khác ”Khoảnh khắc tôi nhận ra mình đang ở trong thân xác của Seria, là kẻ phản diện trong ...",Chapter 19,Tình trạng: Đang Cập Nhật,"Lượt xem: 25,928",Lượt theo dõi: 447,https://truyenqqhot.com/truyen-tranh/toi-tro-thanh-nhan-vat-phan-dien-thuc-su-13649
