Contries,contries_details,GDP,GDP_details,GDP YoY,GDP YoY_details,GDP QoQ,GDP QoQ_details,Interest Rate,Interest Rate_details,Inflation Rate,Inflation_details,Jobless Rate,Jobless_details,Gov. Budget,Gov. Budget_details,Debt/GDP,Debt/GDP_details,Current Account ,Current Account_details,Population,Population_details
Switzerland,https://tradingeconomics.com/switzerland/indicators,801,https://tradingeconomics.com/switzerland/gdp,0.70,https://tradingeconomics.com/switzerland/gdp-growth-annual,0.00,https://tradingeconomics.com/switzerland/gdp-growth,1.00,https://tradingeconomics.com/switzerland/interest-rate,3.40,https://tradingeconomics.com/switzerland/inflation-cpi,2.20,https://tradingeconomics.com/switzerland/unemployment-rate,-0.70,https://tradingeconomics.com/switzerland/government-budget,41.40,https://tradingeconomics.com/switzerland/government-debt-to-gdp,9.30,https://tradingeconomics.com/switzerland/current-account-to-gdp,8.67,https://tradingeconomics.com/switzerland/population
Taiwan,https://tradingeconomics.com/taiwan/indicators,775,https://tradingeconomics.com/taiwan/gdp,-0.41,https://tradingeconomics.com/taiwan/gdp-growth-annual,-1.08,https://tradingeconomics.com/taiwan/gdp-growth,1.75,https://tradingeconomics.com/taiwan/interest-rate,3.04,https://tradingeconomics.com/taiwan/inflation-cpi,3.60,https://tradingeconomics.com/taiwan/unemployment-rate,-0.50,https://tradingeconomics.com/taiwan/government-budget,28.20,https://tradingeconomics.com/taiwan/government-debt-to-gdp,14.80,https://tradingeconomics.com/taiwan/current-account-to-gdp,23.38,https://tradingeconomics.com/taiwan/population
Poland,https://tradingeconomics.com/poland/indicators,679,https://tradingeconomics.com/poland/gdp,2.00,https://tradingeconomics.com/poland/gdp-growth-annual,-2.40,https://tradingeconomics.com/poland/gdp-growth,6.75,https://tradingeconomics.com/poland/interest-rate,17.20,https://tradingeconomics.com/poland/inflation-cpi,5.50,https://tradingeconomics.com/poland/unemployment-rate,-1.80,https://tradingeconomics.com/poland/government-budget,53.80,https://tradingeconomics.com/poland/government-debt-to-gdp,-0.70,https://tradingeconomics.com/poland/current-account-to-gdp,37.84,https://tradingeconomics.com/poland/population
Sweden,https://tradingeconomics.com/sweden/indicators,636,https://tradingeconomics.com/sweden/gdp,-0.90,https://tradingeconomics.com/sweden/gdp-growth-annual,-0.90,https://tradingeconomics.com/sweden/gdp-growth,3.00,https://tradingeconomics.com/sweden/interest-rate,11.70,https://tradingeconomics.com/sweden/inflation-cpi,7.60,https://tradingeconomics.com/sweden/unemployment-rate,-0.10,https://tradingeconomics.com/sweden/government-budget,36.70,https://tradingeconomics.com/sweden/government-debt-to-gdp,4.30,https://tradingeconomics.com/sweden/current-account-to-gdp,10.38,https://tradingeconomics.com/sweden/population
Belgium,https://tradingeconomics.com/belgium/indicators,594,https://tradingeconomics.com/belgium/gdp,1.40,https://tradingeconomics.com/belgium/gdp-growth-annual,0.10,https://tradingeconomics.com/belgium/gdp-growth,3.00,https://tradingeconomics.com/belgium/interest-rate,6.62,https://tradingeconomics.com/belgium/inflation-cpi,5.80,https://tradingeconomics.com/belgium/unemployment-rate,-5.50,https://tradingeconomics.com/belgium/government-budget,108.20,https://tradingeconomics.com/belgium/government-debt-to-gdp,-0.40,https://tradingeconomics.com/belgium/current-account-to-gdp,11.55,https://tradingeconomics.com/belgium/population
Thailand,https://tradingeconomics.com/thailand/indicators,506,https://tradingeconomics.com/thailand/gdp,1.40,https://tradingeconomics.com/thailand/gdp-growth-annual,-1.50,https://tradingeconomics.com/thailand/gdp-growth,1.50,https://tradingeconomics.com/thailand/interest-rate,5.02,https://tradingeconomics.com/thailand/inflation-cpi,1.15,https://tradingeconomics.com/thailand/unemployment-rate,-4.90,https://tradingeconomics.com/thailand/government-budget,59.61,https://tradingeconomics.com/thailand/government-debt-to-gdp,-2.20,https://tradingeconomics.com/thailand/current-account-to-gdp,66.17,https://tradingeconomics.com/thailand/population
Ireland,https://tradingeconomics.com/ireland/indicators,504,https://tradingeconomics.com/ireland/gdp,12.00,https://tradingeconomics.com/ireland/gdp-growth-annual,0.30,https://tradingeconomics.com/ireland/gdp-growth,3.00,https://tradingeconomics.com/ireland/interest-rate,7.80,https://tradingeconomics.com/ireland/inflation-cpi,4.30,https://tradingeconomics.com/ireland/unemployment-rate,-1.70,https://tradingeconomics.com/ireland/government-budget,56.00,https://tradingeconomics.com/ireland/government-debt-to-gdp,13.90,https://tradingeconomics.com/ireland/current-account-to-gdp,5.01,https://tradingeconomics.com/ireland/population
Israel,https://tradingeconomics.com/israel/indicators,489,https://tradingeconomics.com/israel/gdp,2.71,https://tradingeconomics.com/israel/gdp-growth-annual,1.42,https://tradingeconomics.com/israel/gdp-growth,4.25,https://tradingeconomics.com/israel/interest-rate,5.40,https://tradingeconomics.com/israel/inflation-cpi,4.30,https://tradingeconomics.com/israel/unemployment-rate,0.60,https://tradingeconomics.com/israel/government-budget,60.90,https://tradingeconomics.com/israel/government-debt-to-gdp,4.70,https://tradingeconomics.com/israel/current-account-to-gdp,9.45,https://tradingeconomics.com/israel/population
Argentina,https://tradingeconomics.com/argentina/indicators,487,https://tradingeconomics.com/argentina/gdp,5.90,https://tradingeconomics.com/argentina/gdp-growth-annual,1.70,https://tradingeconomics.com/argentina/gdp-growth,75.00,https://tradingeconomics.com/argentina/interest-rate,98.80,https://tradingeconomics.com/argentina/inflation-cpi,7.10,https://tradingeconomics.com/argentina/unemployment-rate,-4.50,https://tradingeconomics.com/argentina/government-budget,80.50,https://tradingeconomics.com/argentina/government-debt-to-gdp,1.00,https://tradingeconomics.com/argentina/current-account-to-gdp,45.81,https://tradingeconomics.com/argentina/population
Norway,https://tradingeconomics.com/norway/indicators,482,https://tradingeconomics.com/norway/gdp,1.30,https://tradingeconomics.com/norway/gdp-growth-annual,0.20,https://tradingeconomics.com/norway/gdp-growth,2.75,https://tradingeconomics.com/norway/interest-rate,7.00,https://tradingeconomics.com/norway/inflation-cpi,3.10,https://tradingeconomics.com/norway/unemployment-rate,9.10,https://tradingeconomics.com/norway/government-budget,43.20,https://tradingeconomics.com/norway/government-debt-to-gdp,15.00,https://tradingeconomics.com/norway/current-account-to-gdp,5.43,https://tradingeconomics.com/norway/population
Austria,https://tradingeconomics.com/austria/indicators,480,https://tradingeconomics.com/austria/gdp,2.60,https://tradingeconomics.com/austria/gdp-growth-annual,0.00,https://tradingeconomics.com/austria/gdp-growth,3.00,https://tradingeconomics.com/austria/interest-rate,11.00,https://tradingeconomics.com/austria/inflation-cpi,7.00,https://tradingeconomics.com/austria/unemployment-rate,-5.90,https://tradingeconomics.com/austria/government-budget,82.80,https://tradingeconomics.com/austria/government-debt-to-gdp,-0.50,https://tradingeconomics.com/austria/current-account-to-gdp,8.93,https://tradingeconomics.com/austria/population
Nigeria,https://tradingeconomics.com/nigeria/indicators,441,https://tradingeconomics.com/nigeria/gdp,3.52,https://tradingeconomics.com/nigeria/gdp-growth-annual,10.99,https://tradingeconomics.com/nigeria/gdp-growth,17.50,https://tradingeconomics.com/nigeria/interest-rate,21.82,https://tradingeconomics.com/nigeria/inflation-cpi,33.30,https://tradingeconomics.com/nigeria/unemployment-rate,-4.70,https://tradingeconomics.com/nigeria/government-budget,37.00,https://tradingeconomics.com/nigeria/government-debt-to-gdp,-0.50,https://tradingeconomics.com/nigeria/current-account-to-gdp,211.40,https://tradingeconomics.com/nigeria/population
South Africa,https://tradingeconomics.com/south-africa/indicators,419,https://tradingeconomics.com/south-africa/gdp,4.10,https://tradingeconomics.com/south-africa/gdp-growth-annual,1.60,https://tradingeconomics.com/south-africa/gdp-growth,7.25,https://tradingeconomics.com/south-africa/interest-rate,6.90,https://tradingeconomics.com/south-africa/inflation-cpi,32.70,https://tradingeconomics.com/south-africa/unemployment-rate,-4.20,https://tradingeconomics.com/south-africa/government-budget,67.40,https://tradingeconomics.com/south-africa/government-debt-to-gdp,-0.70,https://tradingeconomics.com/south-africa/current-account-to-gdp,60.14,https://tradingeconomics.com/south-africa/population
Bangladesh,https://tradingeconomics.com/bangladesh/indicators,416,https://tradingeconomics.com/bangladesh/gdp,7.25,https://tradingeconomics.com/bangladesh/gdp-growth-annual,7.25,https://tradingeconomics.com/bangladesh/gdp-growth,6.00,https://tradingeconomics.com/bangladesh/interest-rate,8.57,https://tradingeconomics.com/bangladesh/inflation-cpi,5.20,https://tradingeconomics.com/bangladesh/unemployment-rate,-6.23,https://tradingeconomics.com/bangladesh/government-budget,33.90,https://tradingeconomics.com/bangladesh/government-debt-to-gdp,-1.10,https://tradingeconomics.com/bangladesh/current-account-to-gdp,166.30,https://tradingeconomics.com/bangladesh/population
United Arab Emirates,https://tradingeconomics.com/united-arab-emirates/indicators,415,https://tradingeconomics.com/united-arab-emirates/gdp,8.50,https://tradingeconomics.com/united-arab-emirates/gdp-growth-annual,2.00,https://tradingeconomics.com/united-arab-emirates/gdp-growth,4.65,https://tradingeconomics.com/united-arab-emirates/interest-rate,6.77,https://tradingeconomics.com/united-arab-emirates/inflation-cpi,3.90,https://tradingeconomics.com/united-arab-emirates/unemployment-rate,0.80,https://tradingeconomics.com/united-arab-emirates/government-budget,38.30,https://tradingeconomics.com/united-arab-emirates/government-debt-to-gdp,11.70,https://tradingeconomics.com/united-arab-emirates/current-account-to-gdp,9.99,https://tradingeconomics.com/united-arab-emirates/population
Egypt,https://tradingeconomics.com/egypt/indicators,404,https://tradingeconomics.com/egypt/gdp,3.20,https://tradingeconomics.com/egypt/gdp-growth-annual,9.80,https://tradingeconomics.com/egypt/gdp-growth,16.25,https://tradingeconomics.com/egypt/interest-rate,25.80,https://tradingeconomics.com/egypt/inflation-cpi,7.20,https://tradingeconomics.com/egypt/unemployment-rate,-6.80,https://tradingeconomics.com/egypt/government-budget,87.20,https://tradingeconomics.com/egypt/government-debt-to-gdp,-4.60,https://tradingeconomics.com/egypt/current-account-to-gdp,104.26,https://tradingeconomics.com/egypt/population
Denmark,https://tradingeconomics.com/denmark/indicators,398,https://tradingeconomics.com/denmark/gdp,1.50,https://tradingeconomics.com/denmark/gdp-growth-annual,0.90,https://tradingeconomics.com/denmark/gdp-growth,2.10,https://tradingeconomics.com/denmark/interest-rate,7.70,https://tradingeconomics.com/denmark/inflation-cpi,2.30,https://tradingeconomics.com/denmark/unemployment-rate,3.60,https://tradingeconomics.com/denmark/government-budget,36.70,https://tradingeconomics.com/denmark/government-debt-to-gdp,8.80,https://tradingeconomics.com/denmark/current-account-to-gdp,5.84,https://tradingeconomics.com/denmark/population
Singapore,https://tradingeconomics.com/singapore/indicators,397,https://tradingeconomics.com/singapore/gdp,2.10,https://tradingeconomics.com/singapore/gdp-growth-annual,0.10,https://tradingeconomics.com/singapore/gdp-growth,3.58,https://tradingeconomics.com/singapore/interest-rate,6.60,https://tradingeconomics.com/singapore/inflation-cpi,2.00,https://tradingeconomics.com/singapore/unemployment-rate,-0.30,https://tradingeconomics.com/singapore/government-budget,160.00,https://tradingeconomics.com/singapore/government-debt-to-gdp,19.30,https://tradingeconomics.com/singapore/current-account-to-gdp,5.45,https://tradingeconomics.com/singapore/population
Philippines,https://tradingeconomics.com/philippines/indicators,394,https://tradingeconomics.com/philippines/gdp,7.20,https://tradingeconomics.com/philippines/gdp-growth-annual,2.40,https://tradingeconomics.com/philippines/gdp-growth,6.00,https://tradingeconomics.com/philippines/interest-rate,8.70,https://tradingeconomics.com/philippines/inflation-cpi,4.30,https://tradingeconomics.com/philippines/unemployment-rate,-8.60,https://tradingeconomics.com/philippines/government-budget,60.90,https://tradingeconomics.com/philippines/government-debt-to-gdp,-1.80,https://tradingeconomics.com/philippines/current-account-to-gdp,110.20,https://tradingeconomics.com/philippines/population
Malaysia,https://tradingeconomics.com/malaysia/indicators,373,https://tradingeconomics.com/malaysia/gdp,7.00,https://tradingeconomics.com/malaysia/gdp-growth-annual,-2.60,https://tradingeconomics.com/malaysia/gdp-growth,2.75,https://tradingeconomics.com/malaysia/interest-rate,3.70,https://tradingeconomics.com/malaysia/inflation-cpi,3.60,https://tradingeconomics.com/malaysia/unemployment-rate,-6.40,https://tradingeconomics.com/malaysia/government-budget,63.30,https://tradingeconomics.com/malaysia/government-debt-to-gdp,2.60,https://tradingeconomics.com/malaysia/current-account-to-gdp,32.60,https://tradingeconomics.com/malaysia/population
Hong Kong,https://tradingeconomics.com/hong-kong/indicators,368,https://tradingeconomics.com/hong-kong/gdp,-4.20,https://tradingeconomics.com/hong-kong/gdp-growth-annual,0.00,https://tradingeconomics.com/hong-kong/gdp-growth,5.00,https://tradingeconomics.com/hong-kong/interest-rate,2.40,https://tradingeconomics.com/hong-kong/inflation-cpi,3.40,https://tradingeconomics.com/hong-kong/unemployment-rate,-3.60,https://tradingeconomics.com/hong-kong/government-budget,38.40,https://tradingeconomics.com/hong-kong/government-debt-to-gdp,11.20,https://tradingeconomics.com/hong-kong/current-account-to-gdp,7.41,https://tradingeconomics.com/hong-kong/population
Vietnam,https://tradingeconomics.com/vietnam/indicators,366,https://tradingeconomics.com/vietnam/gdp,5.92,https://tradingeconomics.com/vietnam/gdp-growth-annual,6.88,https://tradingeconomics.com/vietnam/gdp-growth,6.00,https://tradingeconomics.com/vietnam/interest-rate,4.31,https://tradingeconomics.com/vietnam/inflation-cpi,2.32,https://tradingeconomics.com/vietnam/unemployment-rate,-3.41,https://tradingeconomics.com/vietnam/government-budget,39.60,https://tradingeconomics.com/vietnam/government-debt-to-gdp,-0.50,https://tradingeconomics.com/vietnam/current-account-to-gdp,98.51,https://tradingeconomics.com/vietnam/population
Pakistan,https://tradingeconomics.com/pakistan/indicators,348,https://tradingeconomics.com/pakistan/gdp,3.94,https://tradingeconomics.com/pakistan/gdp-growth-annual,5.79,https://tradingeconomics.com/pakistan/gdp-growth,20.00,https://tradingeconomics.com/pakistan/interest-rate,31.50,https://tradingeconomics.com/pakistan/inflation-cpi,6.50,https://tradingeconomics.com/pakistan/unemployment-rate,-7.10,https://tradingeconomics.com/pakistan/government-budget,84.00,https://tradingeconomics.com/pakistan/government-debt-to-gdp,-4.60,https://tradingeconomics.com/pakistan/current-account-to-gdp,225.20,https://tradingeconomics.com/pakistan/population
Chile,https://tradingeconomics.com/chile/indicators,317,https://tradingeconomics.com/chile/gdp,0.30,https://tradingeconomics.com/chile/gdp-growth-annual,-1.20,https://tradingeconomics.com/chile/gdp-growth,11.25,https://tradingeconomics.com/chile/interest-rate,12.30,https://tradingeconomics.com/chile/inflation-cpi,8.00,https://tradingeconomics.com/chile/unemployment-rate,-7.50,https://tradingeconomics.com/chile/government-budget,36.30,https://tradingeconomics.com/chile/government-debt-to-gdp,-6.60,https://tradingeconomics.com/chile/current-account-to-gdp,19.69,https://tradingeconomics.com/chile/population
Colombia,https://tradingeconomics.com/colombia/indicators,314,https://tradingeconomics.com/colombia/gdp,2.90,https://tradingeconomics.com/colombia/gdp-growth-annual,0.70,https://tradingeconomics.com/colombia/gdp-growth,12.75,https://tradingeconomics.com/colombia/interest-rate,13.28,https://tradingeconomics.com/colombia/inflation-cpi,13.70,https://tradingeconomics.com/colombia/unemployment-rate,-7.10,https://tradingeconomics.com/colombia/government-budget,61.10,https://tradingeconomics.com/colombia/government-debt-to-gdp,-5.70,https://tradingeconomics.com/colombia/current-account-to-gdp,51.41,https://tradingeconomics.com/colombia/population
