Contries,contries_details,GDP,GDP_details,GDP YoY,GDP YoY_details,GDP QoQ,GDP QoQ_details,Interest Rate,Interest Rate_details,Inflation Rate,Inflation_details,Jobless Rate,Jobless_details,Gov. Budget,Gov. Budget_details,Debt/GDP,Debt/GDP_details,Current Account ,Current Account_details,Population,Population_details
Cuba,https://tradingeconomics.com/cuba/indicators,107,https://tradingeconomics.com/cuba/gdp,1.70,https://tradingeconomics.com/cuba/gdp-growth-annual,,,2.25,https://tradingeconomics.com/cuba/interest-rate,42.08,https://tradingeconomics.com/cuba/inflation-cpi,2.80,https://tradingeconomics.com/cuba/unemployment-rate,-11.70,https://tradingeconomics.com/cuba/government-budget,117.00,https://tradingeconomics.com/cuba/government-debt-to-gdp,0.90,https://tradingeconomics.com/cuba/current-account-to-gdp,11.35,https://tradingeconomics.com/cuba/population
Ecuador,https://tradingeconomics.com/ecuador/indicators,106,https://tradingeconomics.com/ecuador/gdp,3.20,https://tradingeconomics.com/ecuador/gdp-growth-annual,1.67,https://tradingeconomics.com/ecuador/gdp-growth,8.54,https://tradingeconomics.com/ecuador/interest-rate,2.90,https://tradingeconomics.com/ecuador/inflation-cpi,3.20,https://tradingeconomics.com/ecuador/unemployment-rate,-8.90,https://tradingeconomics.com/ecuador/government-budget,59.00,https://tradingeconomics.com/ecuador/government-debt-to-gdp,2.90,https://tradingeconomics.com/ecuador/current-account-to-gdp,17.73,https://tradingeconomics.com/ecuador/population
Dominican Republic,https://tradingeconomics.com/dominican-republic/indicators,94,https://tradingeconomics.com/dominican-republic/gdp,5.40,https://tradingeconomics.com/dominican-republic/gdp-growth-annual,-1.18,,8.50,https://tradingeconomics.com/dominican-republic/interest-rate,7.24,https://tradingeconomics.com/dominican-republic/inflation-cpi,4.80,https://tradingeconomics.com/dominican-republic/unemployment-rate,-2.80,https://tradingeconomics.com/dominican-republic/government-budget,50.40,https://tradingeconomics.com/dominican-republic/government-debt-to-gdp,-2.90,https://tradingeconomics.com/dominican-republic/current-account-to-gdp,11.03,https://tradingeconomics.com/dominican-republic/population
Guatemala,https://tradingeconomics.com/guatemala/indicators,86,https://tradingeconomics.com/guatemala/gdp,3.80,https://tradingeconomics.com/guatemala/gdp-growth-annual,,https://tradingeconomics.com/guatemala/gdp-growth,4.50,https://tradingeconomics.com/guatemala/interest-rate,9.69,https://tradingeconomics.com/guatemala/inflation-cpi,2.20,https://tradingeconomics.com/guatemala/unemployment-rate,-4.90,https://tradingeconomics.com/guatemala/government-budget,29.98,https://tradingeconomics.com/guatemala/government-debt-to-gdp,2.50,https://tradingeconomics.com/guatemala/current-account-to-gdp,18.38,https://tradingeconomics.com/guatemala/population
Costa Rica,https://tradingeconomics.com/costa-rica/indicators,64,https://tradingeconomics.com/costa-rica/gdp,3.30,https://tradingeconomics.com/costa-rica/gdp-growth-annual,-0.20,,9.00,https://tradingeconomics.com/costa-rica/interest-rate,7.65,https://tradingeconomics.com/costa-rica/inflation-cpi,11.70,https://tradingeconomics.com/costa-rica/unemployment-rate,-5.00,https://tradingeconomics.com/costa-rica/government-budget,78.64,https://tradingeconomics.com/costa-rica/government-debt-to-gdp,-3.30,https://tradingeconomics.com/costa-rica/current-account-to-gdp,5.21,https://tradingeconomics.com/costa-rica/population
Panama,https://tradingeconomics.com/panama/indicators,64,https://tradingeconomics.com/panama/gdp,9.50,https://tradingeconomics.com/panama/gdp-growth-annual,,,2.14,https://tradingeconomics.com/panama/interest-rate,2.71,https://tradingeconomics.com/panama/inflation-cpi,14.50,https://tradingeconomics.com/panama/unemployment-rate,-7.12,https://tradingeconomics.com/panama/government-budget,63.66,https://tradingeconomics.com/panama/government-debt-to-gdp,-2.20,https://tradingeconomics.com/panama/current-account-to-gdp,4.38,https://tradingeconomics.com/panama/population
Uruguay,https://tradingeconomics.com/uruguay/indicators,59,https://tradingeconomics.com/uruguay/gdp,3.70,https://tradingeconomics.com/uruguay/gdp-growth-annual,0.60,https://tradingeconomics.com/uruguay/gdp-growth,11.50,https://tradingeconomics.com/uruguay/interest-rate,7.55,https://tradingeconomics.com/uruguay/inflation-cpi,8.50,https://tradingeconomics.com/uruguay/unemployment-rate,-3.80,https://tradingeconomics.com/uruguay/government-budget,71.50,https://tradingeconomics.com/uruguay/government-debt-to-gdp,-1.80,https://tradingeconomics.com/uruguay/current-account-to-gdp,3.54,https://tradingeconomics.com/uruguay/population
Paraguay,https://tradingeconomics.com/paraguay/indicators,40,https://tradingeconomics.com/paraguay/gdp,2.80,https://tradingeconomics.com/paraguay/gdp-growth-annual,1.80,https://tradingeconomics.com/paraguay/gdp-growth,8.50,https://tradingeconomics.com/paraguay/interest-rate,7.80,https://tradingeconomics.com/paraguay/inflation-cpi,6.30,https://tradingeconomics.com/paraguay/unemployment-rate,-5.50,https://tradingeconomics.com/paraguay/government-budget,34.60,https://tradingeconomics.com/paraguay/government-debt-to-gdp,0.80,https://tradingeconomics.com/paraguay/current-account-to-gdp,7.35,https://tradingeconomics.com/paraguay/population
Bolivia,https://tradingeconomics.com/bolivia/indicators,40,https://tradingeconomics.com/bolivia/gdp,4.29,https://tradingeconomics.com/bolivia/gdp-growth-annual,14.04,https://tradingeconomics.com/bolivia/gdp-growth,3.48,https://tradingeconomics.com/bolivia/interest-rate,2.57,https://tradingeconomics.com/bolivia/inflation-cpi,6.90,https://tradingeconomics.com/bolivia/unemployment-rate,-9.50,https://tradingeconomics.com/bolivia/government-budget,82.60,https://tradingeconomics.com/bolivia/government-debt-to-gdp,2.00,https://tradingeconomics.com/bolivia/current-account-to-gdp,11.83,https://tradingeconomics.com/bolivia/population
El Salvador,https://tradingeconomics.com/el-salvador/indicators,29,https://tradingeconomics.com/el-salvador/gdp,2.10,https://tradingeconomics.com/el-salvador/gdp-growth-annual,0.50,https://tradingeconomics.com/el-salvador/gdp-growth,5.02,https://tradingeconomics.com/el-salvador/interest-rate,7.03,https://tradingeconomics.com/el-salvador/inflation-cpi,7.20,https://tradingeconomics.com/el-salvador/unemployment-rate,-9.20,https://tradingeconomics.com/el-salvador/government-budget,84.75,https://tradingeconomics.com/el-salvador/government-debt-to-gdp,-5.10,https://tradingeconomics.com/el-salvador/current-account-to-gdp,6.52,https://tradingeconomics.com/el-salvador/population
Honduras,https://tradingeconomics.com/honduras/indicators,28,https://tradingeconomics.com/honduras/gdp,2.60,https://tradingeconomics.com/honduras/gdp-growth-annual,0.90,https://tradingeconomics.com/honduras/gdp-growth,3.00,https://tradingeconomics.com/honduras/interest-rate,8.93,https://tradingeconomics.com/honduras/inflation-cpi,8.60,https://tradingeconomics.com/honduras/unemployment-rate,-6.90,https://tradingeconomics.com/honduras/government-budget,51.46,https://tradingeconomics.com/honduras/government-debt-to-gdp,-4.30,https://tradingeconomics.com/honduras/current-account-to-gdp,9.43,https://tradingeconomics.com/honduras/population
Trinidad and Tobago,https://tradingeconomics.com/trinidad-and-tobago/indicators,24,https://tradingeconomics.com/trinidad-and-tobago/gdp,6.30,https://tradingeconomics.com/trinidad-and-tobago/gdp-growth-annual,-2.70,,3.50,https://tradingeconomics.com/trinidad-and-tobago/interest-rate,8.70,https://tradingeconomics.com/trinidad-and-tobago/inflation-cpi,5.40,https://tradingeconomics.com/trinidad-and-tobago/unemployment-rate,-11.00,https://tradingeconomics.com/trinidad-and-tobago/government-budget,83.30,https://tradingeconomics.com/trinidad-and-tobago/government-debt-to-gdp,4.50,https://tradingeconomics.com/trinidad-and-tobago/current-account-to-gdp,1.38,https://tradingeconomics.com/trinidad-and-tobago/population
Haiti,https://tradingeconomics.com/haiti/indicators,21,https://tradingeconomics.com/haiti/gdp,-1.70,https://tradingeconomics.com/haiti/gdp-growth-annual,,,17.00,https://tradingeconomics.com/haiti/interest-rate,48.30,https://tradingeconomics.com/haiti/inflation-cpi,15.70,https://tradingeconomics.com/haiti/unemployment-rate,-2.50,https://tradingeconomics.com/haiti/government-budget,23.10,https://tradingeconomics.com/haiti/government-debt-to-gdp,0.50,https://tradingeconomics.com/haiti/current-account-to-gdp,11.54,https://tradingeconomics.com/haiti/population
Jamaica,https://tradingeconomics.com/jamaica/indicators,15,https://tradingeconomics.com/jamaica/gdp,5.90,https://tradingeconomics.com/jamaica/gdp-growth-annual,2.10,https://tradingeconomics.com/jamaica/gdp-growth,7.00,https://tradingeconomics.com/jamaica/interest-rate,8.10,https://tradingeconomics.com/jamaica/inflation-cpi,6.60,https://tradingeconomics.com/jamaica/unemployment-rate,0.90,https://tradingeconomics.com/jamaica/government-budget,91.50,https://tradingeconomics.com/jamaica/government-debt-to-gdp,0.70,https://tradingeconomics.com/jamaica/current-account-to-gdp,2.98,https://tradingeconomics.com/jamaica/population
Nicaragua,https://tradingeconomics.com/nicaragua/indicators,14,https://tradingeconomics.com/nicaragua/gdp,4.30,https://tradingeconomics.com/nicaragua/gdp-growth-annual,,,9.02,,10.92,https://tradingeconomics.com/nicaragua/inflation-cpi,3.10,https://tradingeconomics.com/nicaragua/unemployment-rate,1.60,https://tradingeconomics.com/nicaragua/government-budget,64.80,https://tradingeconomics.com/nicaragua/government-debt-to-gdp,-2.90,https://tradingeconomics.com/nicaragua/current-account-to-gdp,6.75,https://tradingeconomics.com/nicaragua/population
Bahamas,https://tradingeconomics.com/bahamas/indicators,11,https://tradingeconomics.com/bahamas/gdp,2.00,https://tradingeconomics.com/bahamas/gdp-growth-annual,,,4.00,https://tradingeconomics.com/bahamas/interest-rate,5.48,https://tradingeconomics.com/bahamas/inflation-cpi,13.20,https://tradingeconomics.com/bahamas/unemployment-rate,-13.30,https://tradingeconomics.com/bahamas/government-budget,95.60,https://tradingeconomics.com/bahamas/government-debt-to-gdp,-20.90,https://tradingeconomics.com/bahamas/current-account-to-gdp,0.40,https://tradingeconomics.com/bahamas/population
Guyana,https://tradingeconomics.com/guyana/indicators,8,https://tradingeconomics.com/guyana/gdp,20.10,https://tradingeconomics.com/guyana/gdp-growth-annual,,,5.00,https://tradingeconomics.com/guyana/interest-rate,6.40,https://tradingeconomics.com/guyana/inflation-cpi,14.50,https://tradingeconomics.com/guyana/unemployment-rate,-5.30,,43.70,,-25.50,https://tradingeconomics.com/guyana/current-account-to-gdp,0.79,https://tradingeconomics.com/guyana/population
Cayman Islands,https://tradingeconomics.com/cayman-islands/indicators,6,https://tradingeconomics.com/cayman-islands/gdp,3.80,https://tradingeconomics.com/cayman-islands/gdp-growth-annual,,,,,9.20,https://tradingeconomics.com/cayman-islands/inflation-cpi,5.70,https://tradingeconomics.com/cayman-islands/unemployment-rate,-2.10,https://tradingeconomics.com/cayman-islands/government-budget,4.50,https://tradingeconomics.com/cayman-islands/government-debt-to-gdp,-13.60,https://tradingeconomics.com/cayman-islands/current-account-to-gdp,0.07,https://tradingeconomics.com/cayman-islands/population
Suriname,https://tradingeconomics.com/suriname/indicators,3,https://tradingeconomics.com/suriname/gdp,2.10,https://tradingeconomics.com/suriname/gdp-growth-annual,,,10.00,https://tradingeconomics.com/suriname/interest-rate,55.50,https://tradingeconomics.com/suriname/inflation-cpi,10.10,https://tradingeconomics.com/suriname/unemployment-rate,2.50,https://tradingeconomics.com/suriname/government-budget,123.80,https://tradingeconomics.com/suriname/government-debt-to-gdp,5.20,https://tradingeconomics.com/suriname/current-account-to-gdp,0.60,https://tradingeconomics.com/suriname/population
T,r,a,d,i,n,g, ,E,c,o,n,o,m,i,c,s, ,p,r,o,v,i,d,e,s, ,d,a,t,a, ,f,o,r, ,2,0, ,m,i,l,l,i,o,n, ,e,c,o,n,o,m,i,c, ,i,n,d,i,c,a,t,o,r,s, ,f,r,o,m, ,1,9,6, ,c,o,u,n,t,r,i,e,s, ,i,n,c,l,u,d,i,n,g, ,a,c,t,u,a,l, ,v,a,l,u,e,s,",", ,c,o,n,s,e,n,s,u,s, ,f,i,g,u,r,e,s,",", ,f,o,r,e,c,a,s,t,s,",", ,h,i,s,t,o,r,i,c,a,l, ,t,i,m,e, ,s,e,r,i,e,s, ,a,n,d, ,n,e,w,s,., ,A,s,i,a, ,-, ,w,a,s, ,l,a,s,t, ,u,p,d,a,t,e,d, ,o,n, ,T,u,e,s,d,a,y,",", ,M,a,r,c,h, ,7,",", ,2,0,2,3,.
